,verse,terminacion
0,Saint-Benoît ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Saint-Benoît la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Saint-Benoît de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
3,Saint-Benoît de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
4,Saint-Benoît esto es la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
5,Saint-Benoît países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
6,Saint-Benoît contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
7,Saint-Benoît en los eficientes,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'tes':cVs>]"
8,Saint-Benoît de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
9,Saint-Benoît marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
10,Saint-Benoît los composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
11,Saint-Benoît as en el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
12,Saint-Benoît en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
13,Saint-Benoît de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
14,Saint-Benoît en un forzamiento,"[<'for':cVc>, <'za':cV>, <'mien':cvVc>, <'to':cV>]"
15,Saint-Benoît de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
16,Saint-Benoît la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
17,Saint-Benoît s de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
18,Saint-Benoît en el escenario,"[<'es':Vs>, <'ce':cV>, <'na':cV>, <'rio':cvV>]"
19,Saint-Benoît de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
20,Saint-Benoît la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
21,Saint-Benoît el calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
22,Saint-Benoît nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
23,Saint-Benoît de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
24,Saint-Benoît para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
25,Saint-Benoît el mercado pero,"[<'pe':cV>, <'ro':cV>]"
26,Saint-Benoît gustos de la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
27,Saint-Benoît la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
28,Saint-Benoît al de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
29,Saint-Benoît de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Saint-Benoît la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
31,Saint-Benoît la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
32,Saint-Benoît a través de enfrentir,"[<'en':Vc>, <'fren':ccVc>, <'tir':cvc>]"
33,Saint-Benoît que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
34,Saint-Benoît ente se desalian,"[<'de':cV>, <'sa':sV>, <'lian':cvVc>]"
35,Saint-Benoît cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
36,Saint-Benoît s es un convenio,"[<'con':cVc>, <'ve':cV>, <'nio':cvV>]"
37,Saint-Benoît de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
38,Saint-Benoît medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
39,Saint-Benoît la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Saint-Benoît del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Saint-Benoît la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Saint-Benoît es a la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
43,Saint-Benoît de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
44,Saint-Benoît de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Saint-Benoît al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
46,Saint-Benoît los actividades,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'da':cV>, <'des':cVs>]"
47,Saint-Benoît para que se poner,"[<'po':cV>, <'ner':cVc>]"
48,Saint-Benoît la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
49,Saint-Benoît de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
50,Saint-Benoît de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
51,Saint-Benoît las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
52,Saint-Benoît lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
53,Saint-Benoît a la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
54,Saint-Benoît entre la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
55,Saint-Benoît de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
56,Saint-Benoît que se pode para,"[<'pa':cV>, <'ra':cV>]"
57,Saint-Benoît de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
58,Saint-Benoît la forma de casa,"[<'ca':cV>, <'sa':sV>]"
59,Saint-Benoît de gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
60,Saint-Benoît desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
61,Saint-Benoît casa de la mayor,"[<'ma':cV>, <'yor':cVc>]"
62,Saint-Benoît en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
63,Saint-Benoît de las principales,"[<'prin':ccvc>, <'ci':cv>, <'pa':cV>, <'les':cVs>]"
64,Saint-Benoît del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
65,Saint-Benoît mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
66,Saint-Benoît y las oficinas,"[<'o':V>, <'fi':cv>, <'ci':cv>, <'nas':cVs>]"
67,Saint-Benoît de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
68,Saint-Benoît de esta incentidumbre,"[<'in':vc>, <'cen':cVc>, <'ti':cv>, <'dum':cvc>, <'bre':ccV>]"
69,Saint-Benoît a por consumidor,"[<'con':cVc>, <'su':sv>, <'mi':cv>, <'dor':cVc>]"
70,Saint-Benoît para estados para,"[<'pa':cV>, <'ra':cV>]"
71,Saint-Benoît de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
72,Saint-Benoît s son los proyectos,"[<'pro':ccV>, <'yec':cVc>, <'tos':cVs>]"
73,Saint-Benoît se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
74,Saint-Benoît de la contratuira,"[<'con':cVc>, <'tra':ccV>, <'tui':cvv>, <'ra':cV>]"
75,Saint-Benoît al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
76,Saint-Benoît s registrar como,"[<'co':cV>, <'mo':cV>]"
77,Saint-Benoît interior del clima,"[<'cli':ccv>, <'ma':cV>]"
78,Saint-Benoît clima de modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
79,Saint-Benoît biente de la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
80,Saint-Benoît compensario que están,"[<'es':Vs>, <'tán':cVc>]"
81,Saint-Benoît que están en el medio,"[<'me':cV>, <'dio':cvV>]"
82,Saint-Benoît a la converioncia,"[<'con':cVc>, <'ve':cV>, <'rion':cvVc>, <'cia':cvV>]"
83,Saint-Benoît de las inversiones,"[<'in':vc>, <'ver':cVc>, <'sio':svV>, <'nes':cVs>]"
84,Saint-Benoît e en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
85,Saint-Benoît de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
86,Saint-Benoît o de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
87,Saint-Benoît la población están,"[<'es':Vs>, <'tán':cVc>]"
88,Saint-Benoît disculpa en la lado,"[<'la':cV>, <'do':cV>]"
89,Saint-Benoît de los medios de este,"[<'es':Vs>, <'te':cV>]"
90,Saint-Benoît n establecida,"[<'es':Vs>, <'ta':cV>, <'ble':ccV>, <'ci':cv>, <'da':cV>]"
91,Saint-Benoît de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
92,Saint-Benoît de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
93,Saint-Benoît ente en la recisión,"[<'re':cV>, <'ci':cv>, <'sión':svVc>]"
