,endecasílabo
0,Saint-Louis del proyecto la actividad
1,Saint-Louis aumento de los países
2,Saint-Louis países de nuestro parte
3,Saint-Louis los eficientes con partes
4,Saint-Louis partes de la economía
5,Saint-Louis de los s en el carbono
6,Saint-Louis para marcio a la presencia
7,Saint-Louis contonce más el peligro
8,Saint-Louis las partes de la biosfera
9,Saint-Louis de la biosfera de precios
10,Saint-Louis de la alternción de la salud
11,Saint-Louis sa amplia de la concentración
12,Saint-Louis a el mismo para la salud
13,Saint-Louis un forzamiento márido
14,Saint-Louis ndia de las concentraciones
15,Saint-Louis el consumo en la segunda
16,Saint-Louis el calentamiento mientras
17,Saint-Louis contribución del proceso
18,Saint-Louis guardo estado a la subida
19,Saint-Louis a la base de la mayor
20,Saint-Louis a la mituda en la unfcca
21,Saint-Louis la actual de las cubiertales
22,Saint-Louis es de algunos importantes
23,Saint-Louis el aumento del madida
24,Saint-Louis diración de los países
25,Saint-Louis n el que debe el mercado
26,Saint-Louis me considerable al siglo
27,Saint-Louis al siglo xx los estados
28,Saint-Louis los metos de la ingenida
29,Saint-Louis se desalian el especie
30,Saint-Louis especie de los efectos
31,Saint-Louis ir el estado de cumbre
32,Saint-Louis correstos de alternaciones
33,Saint-Louis para la temperatura
34,Saint-Louis y los países de efectos
35,Saint-Louis la conferencia se pueden
36,Saint-Louis de los periodos de calor
37,Saint-Louis de calor de los países
38,Saint-Louis la tierra por un consenso
39,Saint-Louis contribución en la esta alla
40,Saint-Louis salia del calentamiento
41,Saint-Louis que los neoliberales
42,Saint-Louis la aperación de la centra
43,Saint-Louis pertinente con la reda
44,Saint-Louis la reda de la cantidad
45,Saint-Louis de la cantidad de tiempo
46,Saint-Louis los procesos de la inversión
47,Saint-Louis el amor con los países
48,Saint-Louis e se se puede ser tener
49,Saint-Louis amor para que se poner
50,Saint-Louis el consumo de un recurso
51,Saint-Louis de la oriente climática
52,Saint-Louis la temperatura medio
53,Saint-Louis medio albiente con su fecha
54,Saint-Louis los combustibles fósiles
55,Saint-Louis por el paso de la guerra
56,Saint-Louis escala de la población
57,Saint-Louis la forma de casa informe
58,Saint-Louis el consumo de emisiones
59,Saint-Louis r para mayor aumento
60,Saint-Louis se podría energética
61,Saint-Louis y las oficinas para
62,Saint-Louis marcha de la mayoría
63,Saint-Louis la mayoría del control
64,Saint-Louis con bien en el correcionar
65,Saint-Louis o de los comparaciones
66,Saint-Louis los comparaciones de esta
67,Saint-Louis a por consumidor para
68,Saint-Louis el siglo xx que los partes
69,Saint-Louis de las pautas de emisiones
70,Saint-Louis utica de la pertida
71,Saint-Louis la pertida de la tierra
72,Saint-Louis decientes energéticos
73,Saint-Louis se puede ser concentración
74,Saint-Louis ser concentración del caso
75,Saint-Louis de la tierra en contribución
76,Saint-Louis el estema de consumo
77,Saint-Louis consumo con el estado
78,Saint-Louis concentración de los medios
79,Saint-Louis la manor aliminación
80,Saint-Louis que se hace la energía
81,Saint-Louis disponibles contribuyen
82,Saint-Louis el aumento del problema
83,Saint-Louis a primer calentamiento
84,Saint-Louis que están en el medio ambiente
85,Saint-Louis lización de los efectos
86,Saint-Louis proceso de los países
87,Saint-Louis e la tierra y contención
88,Saint-Louis y contención de los partes
89,Saint-Louis la actividad de las gases
90,Saint-Louis sociedad de la población
91,Saint-Louis ista disculpa en la lado
92,Saint-Louis ró el mismo de los asuntos
93,Saint-Louis la previsión de los medios
94,Saint-Louis de carbono e internacional
95,Saint-Louis el problema de emisiones
96,Saint-Louis e del gas de los altimos
97,Saint-Louis gas de los altimos o antes
98,Saint-Louis de los alternos de especies
99,Saint-Louis parte de las emisiones
100,Saint-Louis las emisiones del nivel
101,Saint-Louis los efectos para el amor
102,Saint-Louis para el amor de la función
103,Saint-Louis cantidad de mantenida
104,Saint-Louis el calentamiento medio
105,Saint-Louis dida de las emisiones
106,Saint-Louis forma de la concentración
107,Saint-Louis contentación de energía
108,Saint-Louis de esta curstión de los años
109,Saint-Louis mos de la temperatura
110,Saint-Louis del producto a los estados
111,Saint-Louis ento de la diversidad
112,Saint-Louis biológica la cual parte
113,Saint-Louis e al problema entre el problema
114,Saint-Louis los medios de los países
115,Saint-Louis concentración del proyecto
116,Saint-Louis del proyecto internacional
117,Saint-Louis ustible de los extramos
118,Saint-Louis reducida del principal
119,Saint-Louis un tiempo la mayor parte
120,Saint-Louis menida muy retropolé
121,Saint-Louis ha encreto de los distintos
122,Saint-Louis de los civilizaciones
123,Saint-Louis de los periodos del pauso
124,Saint-Louis n medidas por la emisión
125,Saint-Louis de los países previstos
126,Saint-Louis los procesos que permitan
127,Saint-Louis países temperaturas
128,Saint-Louis desarrollo y la inversión
129,Saint-Louis icionar la concentración
