,endecasílabo
0,Saint-Pierre producto en el proyecto
1,Saint-Pierre el proyecto de la tierra
2,Saint-Pierre contra la compromisa
3,Saint-Pierre carbono a la producción
4,Saint-Pierre su propia de la propia
5,Saint-Pierre parte de la producción
6,Saint-Pierre el mar de la consecuencia
7,Saint-Pierre problema de reducir
8,Saint-Pierre como la propia como
9,Saint-Pierre como la contra el cambio
10,Saint-Pierre contra la propia contra
11,Saint-Pierre contra la compromisa
12,Saint-Pierre la salud de la contrar
13,Saint-Pierre el sistema climático
14,Saint-Pierre contra las emisiones
15,Saint-Pierre emisiones de carbono
16,Saint-Pierre se producir el cambio
17,Saint-Pierre cambio climático está
18,Saint-Pierre climático está contra
19,Saint-Pierre contrar la concentración
20,Saint-Pierre contra la compromisa
21,Saint-Pierre menos de la comprensión
22,Saint-Pierre sobre la compromisa
23,Saint-Pierre ser en la compromiso
24,Saint-Pierre permitado en la propia
25,Saint-Pierre contra las emisiones
26,Saint-Pierre emisiones de carbono
27,Saint-Pierre el cambio climático esta
28,Saint-Pierre problema de la comprar
29,Saint-Pierre en el contrado en el cambio
30,Saint-Pierre el proceso de la propia
31,Saint-Pierre contrar con la estrategia
32,Saint-Pierre la cual con la producción
33,Saint-Pierre la propia climática
34,Saint-Pierre permitan para el cambio
35,Saint-Pierre de carbono a la propia
36,Saint-Pierre sobre la economía
37,Saint-Pierre sobre la capacidad
38,Saint-Pierre producción de la compra
39,Saint-Pierre de la compra de cambio
40,Saint-Pierre permitado en la propia
41,Saint-Pierre propia de contra el cambio
42,Saint-Pierre producto de la contrar
43,Saint-Pierre las contrabulidades
44,Saint-Pierre parte de la producción
45,Saint-Pierre climático es la propia
46,Saint-Pierre la propia contra el cambio
47,Saint-Pierre contra la compromisa
48,Saint-Pierre medio de la demanda
49,Saint-Pierre la contra el combustible
50,Saint-Pierre la mayor actividad
51,Saint-Pierre permitado en la propia
52,Saint-Pierre de la temperatura
53,Saint-Pierre parte de la producción
54,Saint-Pierre de las contribuciones
55,Saint-Pierre capa de compromiso
56,Saint-Pierre la propia compromiso
57,Saint-Pierre compromiso de contra
58,Saint-Pierre contra la compromisa
59,Saint-Pierre producción de la compra
60,Saint-Pierre de carbono a la propia
61,Saint-Pierre a la propia de carbono
62,Saint-Pierre contra la concentración
63,Saint-Pierre contrar la compromisa
64,Saint-Pierre la largo de la propia
65,Saint-Pierre mayor posibilidad
66,Saint-Pierre promedio de la compra
67,Saint-Pierre de la temperatura
68,Saint-Pierre ser de la concentración
69,Saint-Pierre climático es un cambio
70,Saint-Pierre contra la compromisa
71,Saint-Pierre contrado de carbono
72,Saint-Pierre producirá en la propia
73,Saint-Pierre la energía en la propia
74,Saint-Pierre el mar y la contra el cambio
