,verse,terminacion
0,Saipan ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Saipan los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Saipan si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Saipan los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Saipan nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Saipan en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Saipan con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Saipan dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Saipan e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Saipan la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Saipan composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Saipan en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Saipan márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Saipan la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Saipan conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Saipan la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Saipan la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Saipan de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Saipan su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Saipan gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Saipan los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Saipan de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Saipan el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Saipan también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Saipan los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Saipan gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Saipan consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Saipan ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Saipan de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Saipan de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Saipan la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Saipan de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Saipan en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Saipan con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Saipan en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Saipan estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Saipan la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Saipan ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Saipan la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Saipan la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Saipan umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Saipan actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,Saipan políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,Saipan con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
44,Saipan la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,Saipan en la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
46,Saipan de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Saipan ente de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
48,Saipan ente a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
49,Saipan de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
50,Saipan la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,Saipan tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
52,Saipan que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
53,Saipan en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
54,Saipan de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
55,Saipan la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
56,Saipan de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
57,Saipan la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
58,Saipan aumento del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Saipan de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
60,Saipan energética en el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
61,Saipan centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
62,Saipan de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
63,Saipan medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,Saipan bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
65,Saipan de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
66,Saipan continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
67,Saipan la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
68,Saipan por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
