,verse,terminacion
0,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
1,San Antonio el proyecto en la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
2,San Antonio compromisa de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
3,San Antonio concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
4,San Antonio climático en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
5,San Antonio concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
6,San Antonio modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
7,San Antonio concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
8,San Antonio la propia de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
9,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
10,San Antonio entre el mar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,San Antonio carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,San Antonio menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
13,San Antonio parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
14,San Antonio contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
15,San Antonio reducir la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,San Antonio marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
17,San Antonio concentración de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
18,San Antonio mayor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,San Antonio cambio climático como,"[<'co':cV>, <'mo':cV>]"
20,San Antonio capa de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
21,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
22,San Antonio compra de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
23,San Antonio climático es la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
24,San Antonio el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
25,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
26,San Antonio marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
27,San Antonio concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
28,San Antonio el medio de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
29,San Antonio carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
30,San Antonio propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
31,San Antonio concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
32,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
33,San Antonio cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
34,San Antonio la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
35,San Antonio parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
36,San Antonio la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
37,San Antonio contral de la propia contra,"[<'con':cVc>, <'tra':ccV>]"
38,San Antonio parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
39,San Antonio climático en el contrado,"[<'con':cVc>, <'tra':ccV>, <'do':cV>]"
40,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
41,San Antonio capacidad de la contra,"[<'con':cVc>, <'tra':ccV>]"
42,San Antonio para el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
43,San Antonio carbono a la propia contra,"[<'con':cVc>, <'tra':ccV>]"
44,San Antonio cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
45,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
46,San Antonio capacidad de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
47,San Antonio climático a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
48,San Antonio emisiones de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
49,San Antonio parte de la contrabución,"[<'con':cVc>, <'tra':ccV>, <'bu':cv>, <'ción':cvVc>]"
50,San Antonio concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
51,San Antonio producirá a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
52,San Antonio la contrar la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
53,San Antonio concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
54,San Antonio el proyecto de la actualidad,"[<'ac':Vc>, <'tua':cvV>, <'li':cv>, <'dad':cVc>]"
55,San Antonio climático en la contración,"[<'con':cVc>, <'tra':ccV>, <'ción':cvVc>]"
56,San Antonio los proyectos de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
57,San Antonio carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
58,San Antonio compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
59,San Antonio el contrado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
60,San Antonio climático en la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
61,San Antonio la propia de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
62,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
63,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
64,San Antonio los procesos de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
65,San Antonio producido a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
66,San Antonio el proceso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
67,San Antonio climático es un proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
68,San Antonio un proceso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
69,San Antonio de contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
70,San Antonio climático es un proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
71,San Antonio compromisa de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
72,San Antonio la propia de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
73,San Antonio concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
74,San Antonio climático es los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
75,San Antonio comprensión de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
76,San Antonio propia con la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
77,San Antonio compromisa de la capa,"[<'ca':cV>, <'pa':cV>]"
78,San Antonio procesos de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
79,San Antonio la propia de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
80,San Antonio el mercado de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
81,San Antonio la compromisa de cambio,"[<'cam':cVc>, <'bio':cvV>]"
82,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
83,San Antonio de compromiso de contra,"[<'con':cVc>, <'tra':ccV>]"
84,San Antonio seguir en la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
85,San Antonio la estada de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
86,San Antonio la propia como el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
87,San Antonio concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
88,San Antonio concentración de la contra,"[<'con':cVc>, <'tra':ccV>]"
89,San Antonio carbono que la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
90,San Antonio la compromisa de deces,"[<'de':cV>, <'ces':cVs>]"
91,San Antonio deces con la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
92,San Antonio la propia de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
93,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
94,San Antonio manor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
95,San Antonio concentración de la contral,"[<'con':cVc>, <'tral':ccVc>]"
96,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
97,San Antonio el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
98,San Antonio los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
99,San Antonio la propia como el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
100,San Antonio carbono y el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
101,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
102,San Antonio el cambio climático para,"[<'pa':cV>, <'ra':cV>]"
103,San Antonio contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
104,San Antonio compromiso de la capa,"[<'ca':cV>, <'pa':cV>]"
105,San Antonio compromisa de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
106,San Antonio el contrado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
107,San Antonio los procesos de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
108,San Antonio el contrado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
109,San Antonio la comprensión de la propia,"[<'pro':ccV>, <'pia':cvV>]"
110,San Antonio la propia de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
111,San Antonio climático y la propia,"[<'pro':ccV>, <'pia':cvV>]"
112,San Antonio consecuencia de la compra,"[<'com':cVc>, <'pra':ccV>]"
113,San Antonio concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
114,San Antonio compromisa de la contra,"[<'con':cVc>, <'tra':ccV>]"
115,San Antonio mayor cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
116,San Antonio climático en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
117,San Antonio el proceso de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
118,San Antonio la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
119,San Antonio la compra de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
120,San Antonio emisiones de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
121,San Antonio la compromisa de contra,"[<'con':cVc>, <'tra':ccV>]"
122,San Antonio concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
123,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
124,San Antonio climático y la propia,"[<'pro':ccV>, <'pia':cvV>]"
125,San Antonio concentración de la contra,"[<'con':cVc>, <'tra':ccV>]"
126,San Antonio climático en el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
127,San Antonio en el sistema climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
128,San Antonio los procesos de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
129,San Antonio consecuencia de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
130,San Antonio la contrar la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
131,San Antonio la producción de la capa,"[<'ca':cV>, <'pa':cV>]"
132,San Antonio la cumbre de la actualidad,"[<'ac':Vc>, <'tua':cvV>, <'li':cv>, <'dad':cVc>]"
133,San Antonio la compra de la estructura,"[<'es':Vs>, <'truc':ccvc>, <'tu':cv>, <'ra':cV>]"
134,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
135,San Antonio cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
136,San Antonio compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
137,San Antonio mercado de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
138,San Antonio carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
139,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
140,San Antonio contración de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
141,San Antonio el contral de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
142,San Antonio climático a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
143,San Antonio concentración de la capa,"[<'ca':cV>, <'pa':cV>]"
144,San Antonio parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
145,San Antonio contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
146,San Antonio concentración de la contra,"[<'con':cVc>, <'tra':ccV>]"
147,San Antonio compromiso de la compra,"[<'com':cVc>, <'pra':ccV>]"
148,San Antonio la compromisa de contrar,"[<'con':cVc>, <'trar':ccVc>]"
149,San Antonio carbono que los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
150,San Antonio compromisa de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
151,San Antonio parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
152,San Antonio de compromiso de contra,"[<'con':cVc>, <'tra':ccV>]"
153,San Antonio climático es los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
154,San Antonio compromisa de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
