,verse,terminacion
0,San Bartolomé de Tirajana almo,"[<'al':Vc>, <'mo':cV>]"
1,San Bartolomé de Tirajana amplia,"[<'am':Vc>, <'plia':ccvV>]"
2,San Bartolomé de Tirajana esta,"[<'es':Vs>, <'ta':cV>]"
3,San Bartolomé de Tirajana alta,"[<'al':Vc>, <'ta':cV>]"
4,San Bartolomé de Tirajana están,"[<'es':Vs>, <'tán':cVc>]"
5,San Bartolomé de Tirajana actual,"[<'ac':Vc>, <'tual':cvVc>]"
6,San Bartolomé de Tirajana esta,"[<'es':Vs>, <'ta':cV>]"
7,San Bartolomé de Tirajana actual,"[<'ac':Vc>, <'tual':cvVc>]"
8,San Bartolomé de Tirajana amor,"[<'a':V>, <'mor':cVc>]"
9,San Bartolomé de Tirajana esta,"[<'es':Vs>, <'ta':cV>]"
10,San Bartolomé de Tirajana esta,"[<'es':Vs>, <'ta':cV>]"
11,San Bartolomé de Tirajana alta,"[<'al':Vc>, <'ta':cV>]"
12,San Bartolomé de Tirajana esta,"[<'es':Vs>, <'ta':cV>]"
13,San Bartolomé de Tirajana entre,"[<'en':Vc>, <'tre':ccV>]"
14,San Bartolomé de Tirajana actual,"[<'ac':Vc>, <'tual':cvVc>]"
15,San Bartolomé de Tirajana están,"[<'es':Vs>, <'tán':cVc>]"
16,San Bartolomé de Tirajana están,"[<'es':Vs>, <'tán':cVc>]"
17,San Bartolomé de Tirajana este,"[<'es':Vs>, <'te':cV>]"
18,San Bartolomé de Tirajana antes,"[<'an':Vc>, <'tes':cVs>]"
19,San Bartolomé de Tirajana estar,"[<'es':Vs>, <'tar':cVc>]"
20,San Bartolomé de Tirajana amor,"[<'a':V>, <'mor':cVc>]"
21,San Bartolomé de Tirajana algo,"[<'al':Vc>, <'go':cV>]"
22,San Bartolomé de Tirajana entre,"[<'en':Vc>, <'tre':ccV>]"
23,San Bartolomé de Tirajana esta,"[<'es':Vs>, <'ta':cV>]"
24,San Bartolomé de Tirajana ante,"[<'an':Vc>, <'te':cV>]"
25,San Bartolomé de Tirajana algo,"[<'al':Vc>, <'go':cV>]"
26,San Bartolomé de Tirajana estos,"[<'es':Vs>, <'tos':cVs>]"
27,San Bartolomé de Tirajana eren,"[<'e':V>, <'ren':cVc>]"
28,San Bartolomé de Tirajana agua,"[<'a':V>, <'gua':cvV>]"
