,verse,terminacion
0,San Isidro países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
1,San Isidro los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
2,San Isidro partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
3,San Isidro la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
4,San Isidro contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
5,San Isidro las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
6,San Isidro de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
7,San Isidro la salud y la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
8,San Isidro temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
9,San Isidro escenario de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
10,San Isidro la contrarion de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
11,San Isidro carbono en la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
12,San Isidro por la que en el acusado,"[<'a':V>, <'cu':cv>, <'sa':sV>, <'do':cV>]"
13,San Isidro que en el acusado de esa,"[<'e':V>, <'sa':sV>]"
14,San Isidro de carbón en la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
15,San Isidro contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,San Isidro base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,San Isidro importantes de diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
18,San Isidro aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
19,San Isidro su presente contimica,"[<'con':cVc>, <'ti':cv>, <'mi':cv>, <'ca':cV>]"
20,San Isidro en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
21,San Isidro la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
22,San Isidro de efectos de la delación,"[<'de':cV>, <'la':cV>, <'ción':cvVc>]"
23,San Isidro el mercado de los mercados,"[<'mer':cVc>, <'ca':cV>, <'dos':cVs>]"
24,San Isidro los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
25,San Isidro que hay que se viere para,"[<'pa':cV>, <'ra':cV>]"
26,San Isidro que se viere para el solo,"[<'so':sV>, <'lo':cV>]"
27,San Isidro se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
28,San Isidro contaminación del clima,"[<'cli':ccv>, <'ma':cV>]"
29,San Isidro correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
30,San Isidro para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
31,San Isidro un convenio sobre el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
32,San Isidro la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
33,San Isidro la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
34,San Isidro en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
35,San Isidro de las precipitaciones,"[<'pre':ccV>, <'ci':cv>, <'pi':cv>, <'ta':cV>, <'cio':cvV>, <'nes':cVs>]"
36,San Isidro la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
37,San Isidro la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
38,San Isidro la centra de la siguiente,"[<'si':sv>, <'guien':cvvVc>, <'te':cV>]"
39,San Isidro la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
40,San Isidro de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
41,San Isidro los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
42,San Isidro energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
43,San Isidro en los dectriales de evaluación,"[<'e':V>, <'va':cV>, <'lua':cvV>, <'ción':cvVc>]"
44,San Isidro global de la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
45,San Isidro actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
46,San Isidro de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
47,San Isidro la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
48,San Isidro los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
