,verse,terminacion
0,Santiago de Querétaro ### load,"[<'lo':cV>, <'ad':Vc>]"
1,Santiago de Querétaro ### load,"[<'lo':cV>, <'ad':Vc>]"
2,Santiago de Querétaro Predict,"[<'Pre':ccV>, <'di':cv>, <'ct':cc>]"
3,Santiago de Querétaro proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
4,Santiago de Querétaro actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
5,Santiago de Querétaro entre el parto,"[<'par':cVc>, <'to':cV>]"
6,Santiago de Querétaro países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
7,Santiago de Querétaro de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
8,Santiago de Querétaro en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
9,Santiago de Querétaro con partes,"[<'par':cVc>, <'tes':cVs>]"
10,Santiago de Querétaro dicional,"[<'di':cv>, <'cio':cvV>, <'nal':cVc>]"
11,Santiago de Querétaro contonce,"[<'con':cVc>, <'ton':cVc>, <'ce':cV>]"
12,Santiago de Querétaro el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
13,Santiago de Querétaro las partes,"[<'par':cVc>, <'tes':cVs>]"
14,Santiago de Querétaro de precios,"[<'pre':ccV>, <'cios':cvVs>]"
15,Santiago de Querétaro en los palas,"[<'pa':cV>, <'las':cVs>]"
16,Santiago de Querétaro la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
17,Santiago de Querétaro la carta,"[<'car':cVc>, <'ta':cV>]"
18,Santiago de Querétaro es un siglo,"[<'si':sv>, <'glo':ccV>]"
19,Santiago de Querétaro conterir,"[<'con':cVc>, <'te':cV>, <'rir':cvc>]"
20,Santiago de Querétaro un carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
21,Santiago de Querétaro alta altiran,"[<'al':Vc>, <'ti':cv>, <'ran':cVc>]"
22,Santiago de Querétaro la función,"[<'fun':cvc>, <'ción':cvVc>]"
23,Santiago de Querétaro de carbón,"[<'car':cVc>, <'bón':cVc>]"
24,Santiago de Querétaro proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
25,Santiago de Querétaro están de algo,"[<'al':Vc>, <'go':cV>]"
26,Santiago de Querétaro las nubes,"[<'nu':cv>, <'bes':cVs>]"
27,Santiago de Querétaro la base,"[<'ba':cV>, <'se':sV>]"
28,Santiago de Querétaro la mayor,"[<'ma':cV>, <'yor':cVc>]"
29,Santiago de Querétaro precisas,"[<'pre':ccV>, <'ci':cv>, <'sas':sVs>]"
30,Santiago de Querétaro en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
31,Santiago de Querétaro su mara,"[<'ma':cV>, <'ra':cV>]"
32,Santiago de Querétaro de algunos,"[<'al':Vc>, <'gu':cv>, <'nos':cVs>]"
33,Santiago de Querétaro ntuad para,"[<'pa':cV>, <'ra':cV>]"
34,Santiago de Querétaro el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
35,Santiago de Querétaro el aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
36,Santiago de Querétaro atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
37,Santiago de Querétaro la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
