,endecasílabo
0,Santo Domingo ### load libraries
1,Santo Domingo la recursosidad
2,Santo Domingo de las emisiones
3,Santo Domingo de la concentración
4,Santo Domingo entre el parto del mismo
5,Santo Domingo países de nuestro
6,Santo Domingo contigo en la emisión
7,Santo Domingo eficientes con partes
8,Santo Domingo de la humanidad
9,Santo Domingo marcio a la presencia
10,Santo Domingo los composiciones
11,Santo Domingo de la comperación
12,Santo Domingo de la carta de esta
13,Santo Domingo es un siglo xx estos
14,Santo Domingo la desempleación
15,Santo Domingo s de los países
16,Santo Domingo de los combustibles
17,Santo Domingo la función de carbón
18,Santo Domingo nubes del proceso
19,Santo Domingo estado a la subida
20,Santo Domingo de los combustibles
21,Santo Domingo para diversidad
22,Santo Domingo gustos de la emisión
23,Santo Domingo la emisión de emisión
24,Santo Domingo de algunos países
25,Santo Domingo la nueva alta al nivel
26,Santo Domingo la inercia de efectos
27,Santo Domingo en la emisión de todos
28,Santo Domingo el que debe el mercado
29,Santo Domingo que hay que se viere
30,Santo Domingo el estado de cumbre
31,Santo Domingo cumbre de la ommera
32,Santo Domingo en la contaminación
33,Santo Domingo s es un convenio
34,Santo Domingo es un convenio sobre
35,Santo Domingo de la conferencia
36,Santo Domingo medidas permiten
37,Santo Domingo la temperatura
38,Santo Domingo del calentamiento
39,Santo Domingo la temperatura
40,Santo Domingo de la contribución
41,Santo Domingo de la concentración
42,Santo Domingo los actividades
43,Santo Domingo para que se poner
44,Santo Domingo la temperatura
45,Santo Domingo albiente con su fecha
46,Santo Domingo de los combustibles
47,Santo Domingo de esta poderpera
48,Santo Domingo las concentraciones
49,Santo Domingo lucha de ser alta
50,Santo Domingo el paso de la guerra
51,Santo Domingo de la comperación
52,Santo Domingo que se pode para
53,Santo Domingo un forzamiento también
54,Santo Domingo de la mayoría
55,Santo Domingo la forma de casa
56,Santo Domingo emisiones de gases
57,Santo Domingo de gases de efecto
58,Santo Domingo desarrollan casa
59,Santo Domingo casa de la mayor
60,Santo Domingo de las principales
61,Santo Domingo a mucha marca descual
62,Santo Domingo del clima en la tierra
63,Santo Domingo mar de los países
64,Santo Domingo el mercado probable
65,Santo Domingo a los interseñores
66,Santo Domingo y las oficinas
67,Santo Domingo de la mayoría
68,Santo Domingo de esta incentidumbre
69,Santo Domingo para estados para
70,Santo Domingo de los combustibles
71,Santo Domingo energéticos entre
72,Santo Domingo s son los proyectos
73,Santo Domingo actual con el contexto
74,Santo Domingo se contenta el marco
75,Santo Domingo de la contratuira
76,Santo Domingo s registrar como
77,Santo Domingo clima de modelos
78,Santo Domingo biente de la intersión
79,Santo Domingo aumento del problema
80,Santo Domingo compensario que están
81,Santo Domingo que están en el medio
82,Santo Domingo de las inversiones
83,Santo Domingo de la conferencia
84,Santo Domingo la población están
85,Santo Domingo disculpa en la lado
86,Santo Domingo de los medios de este
87,Santo Domingo n establecida
88,Santo Domingo de la concentración
89,Santo Domingo de la concentración
90,Santo Domingo puedo estar la salud
91,Santo Domingo efectos para el amor
92,Santo Domingo el amor de la función
93,Santo Domingo de mantenida entre
94,Santo Domingo pueden el mercado
95,Santo Domingo mercado que el amor
96,Santo Domingo que el amor de viento
97,Santo Domingo de las emisiones
98,Santo Domingo de gei no establecer
99,Santo Domingo las países para
100,Santo Domingo el impacto de un clima
101,Santo Domingo no pueda despertar
102,Santo Domingo de la diversidad
103,Santo Domingo de los combustibles
104,Santo Domingo y las inversiones
105,Santo Domingo s electricidad
106,Santo Domingo de las políticas
107,Santo Domingo de la comperación
108,Santo Domingo la en el actual también
109,Santo Domingo responsar la salud
110,Santo Domingo de las de recursos
111,Santo Domingo partir del problema
112,Santo Domingo problema del medio
113,Santo Domingo de la concentración
114,Santo Domingo la temperatura
115,Santo Domingo nivel del mar de estos
116,Santo Domingo la precisión para
117,Santo Domingo por la emisión de este
118,Santo Domingo mar soda este tiempo
119,Santo Domingo ción en la actividad
120,Santo Domingo los economistas
121,Santo Domingo continua el distinto
122,Santo Domingo ambiente con la parte
123,Santo Domingo crecimiento sobre
124,Santo Domingo pera de los solor
125,Santo Domingo global del proyecto
126,Santo Domingo de la concentración
127,Santo Domingo la segunda escala
128,Santo Domingo de la cual controlar
129,Santo Domingo de esta desestudión
130,Santo Domingo de los pasos así
131,Santo Domingo na los contenidos
132,Santo Domingo de las emisiones
133,Santo Domingo por el gas de la esta
134,Santo Domingo la ieversidad dio esta
135,Santo Domingo el informe del nivel
136,Santo Domingo energía nuclear
137,Santo Domingo de la humanidad
138,Santo Domingo de esta concentración
139,Santo Domingo la alta a la antórica
140,Santo Domingo de la conferencia
141,Santo Domingo poder de los partes
142,Santo Domingo de las emisiones
143,Santo Domingo la cumbre del clima
144,Santo Domingo cumbre del clima este
145,Santo Domingo del clima este estado
146,Santo Domingo la segunda parte
147,Santo Domingo se pueden recursos
148,Santo Domingo el carbono e intensidad
149,Santo Domingo menos del problema
150,Santo Domingo de los partes de esta
151,Santo Domingo el climático sobre
152,Santo Domingo el problema del nivel
153,Santo Domingo tiene una previsión
