,endecasílabo
0,Santo Domingo ### load libraries
1,Santo Domingo de la conferencia
2,Santo Domingo de la contribución
3,Santo Domingo mayor política
4,Santo Domingo y la concentración
5,Santo Domingo de la compromiso
6,Santo Domingo la estado de cambio
7,Santo Domingo de la compra de esta
8,Santo Domingo por la compromisa
9,Santo Domingo de la conferencia
10,Santo Domingo de la compromisa
11,Santo Domingo contra la demanda
12,Santo Domingo de la compromisa
13,Santo Domingo el cambio climático
14,Santo Domingo de la compromisa
15,Santo Domingo contra las procesos
16,Santo Domingo propia de la propia
17,Santo Domingo mar se desarrolla
18,Santo Domingo de la concentración
19,Santo Domingo mayor producida
20,Santo Domingo de la capacidad
21,Santo Domingo por la concentración
22,Santo Domingo de la estrategía
23,Santo Domingo de la concentración
24,Santo Domingo de la compromisa
25,Santo Domingo de la contribución
26,Santo Domingo de la consecuencia
27,Santo Domingo contra la demanda
28,Santo Domingo de la concentración
29,Santo Domingo de la concentración
30,Santo Domingo de la compromiso
31,Santo Domingo parte de la salud
32,Santo Domingo de la concentración
33,Santo Domingo de la compromisa
34,Santo Domingo cambio climático
35,Santo Domingo el cambio climático
36,Santo Domingo parte de la capa
37,Santo Domingo de la contra el cambio
38,Santo Domingo de la contra el cambio
39,Santo Domingo de la concentración
40,Santo Domingo de la compromisa
41,Santo Domingo de la contribución
42,Santo Domingo producir el cambio
43,Santo Domingo el cambio climático
44,Santo Domingo cambio climático
45,Santo Domingo esta mayor producción
46,Santo Domingo de la contra el cambio
47,Santo Domingo la contra un proyecto
48,Santo Domingo de la concentración
49,Santo Domingo de la compromiso
50,Santo Domingo de la concentración
51,Santo Domingo el cambio climático
52,Santo Domingo de la compromisa
53,Santo Domingo el cambio climático
54,Santo Domingo de la compromisa
55,Santo Domingo menos de la compra
56,Santo Domingo de la compromisa
57,Santo Domingo de las emisiones
58,Santo Domingo por la contra el cambio
59,Santo Domingo de la concentración
60,Santo Domingo de la concentración
61,Santo Domingo el contral de la propia
62,Santo Domingo el contrado en el cambio
63,Santo Domingo cual con la producción
64,Santo Domingo de la capacidad
65,Santo Domingo de la contra el cambio
66,Santo Domingo el cambio climático
67,Santo Domingo el cambio climático
68,Santo Domingo de la consecuencia
69,Santo Domingo de las emisiones
70,Santo Domingo carbono a la propia
71,Santo Domingo el cambio climático
72,Santo Domingo de las emisiones
73,Santo Domingo de la contribución
74,Santo Domingo el cambio climático
75,Santo Domingo de la contribución
76,Santo Domingo de las emisiones
77,Santo Domingo de la concentración
78,Santo Domingo de la concentración
79,Santo Domingo de las emisiones
80,Santo Domingo la compra de cambio
81,Santo Domingo de la compromisa
82,Santo Domingo con la compromisa
83,Santo Domingo de la compromisa
84,Santo Domingo a la energía para
85,Santo Domingo de la concentración
86,Santo Domingo de la concentración
87,Santo Domingo de la concentración
88,Santo Domingo de la concentración
89,Santo Domingo de la compromisa
90,Santo Domingo el cambio climático
91,Santo Domingo compromiso de esta
92,Santo Domingo el cambio climático
93,Santo Domingo de la concentración
94,Santo Domingo contrado en la propia
95,Santo Domingo de la compromisa
96,Santo Domingo de la concentración
97,Santo Domingo de la concentración
98,Santo Domingo de la compromisa
99,Santo Domingo con la compromisa
100,Santo Domingo es proceso de cambio
101,Santo Domingo de la compromisa
102,Santo Domingo de la consecuencia
103,Santo Domingo de la concentración
104,Santo Domingo de la compromisa
105,Santo Domingo la temperatura
106,Santo Domingo la temperatura
107,Santo Domingo de la concentración
