,verse,terminacion
0,Santo Domingo ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Santo Domingo de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
2,Santo Domingo de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
3,Santo Domingo mayor política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
4,Santo Domingo y la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
5,Santo Domingo de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
6,Santo Domingo la estado de cambio,"[<'cam':cVc>, <'bio':cvV>]"
7,Santo Domingo de la compra de esta,"[<'es':Vs>, <'ta':cV>]"
8,Santo Domingo por la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
9,Santo Domingo de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
10,Santo Domingo de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
11,Santo Domingo contra la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
12,Santo Domingo de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
13,Santo Domingo el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Santo Domingo de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
15,Santo Domingo contra las procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
16,Santo Domingo propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
17,Santo Domingo mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
18,Santo Domingo de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
