,verse,terminacion
0,Saratov del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Saratov aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Saratov países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Saratov los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Saratov partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Saratov de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Saratov para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Saratov contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Saratov las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Saratov de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Saratov de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Saratov sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Saratov a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Saratov un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Saratov ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Saratov el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Saratov el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Saratov contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Saratov guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Saratov a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Saratov a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Saratov la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Saratov es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Saratov el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Saratov diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Saratov n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Saratov me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
27,Saratov al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
28,Saratov los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
29,Saratov se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
30,Saratov especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
31,Saratov ir el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
32,Saratov correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
33,Saratov para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
34,Saratov y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
35,Saratov la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
36,Saratov de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Saratov de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Saratov la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
39,Saratov contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
40,Saratov salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Saratov que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
42,Saratov la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
43,Saratov pertinente con la reda,"[<'re':cV>, <'da':cV>]"
44,Saratov la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
45,Saratov de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
