,verse,terminacion
0,Shanghai el proyecto de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
1,Shanghai permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Shanghai en el proyecto en la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
3,Shanghai en el proceso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Shanghai la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
5,Shanghai el contrado de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
6,Shanghai la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
7,Shanghai las procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
8,Shanghai de compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
9,Shanghai los modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
10,Shanghai la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
11,Shanghai de la propia de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
12,Shanghai ha contral de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
13,Shanghai provocado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
14,Shanghai el cambio climático en la propia,"[<'pro':ccV>, <'pia':cvV>]"
15,Shanghai permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
16,Shanghai en la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
17,Shanghai la propia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
18,Shanghai permitado en la compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
19,Shanghai mayor parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
20,Shanghai por el mar de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
21,Shanghai de carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
22,Shanghai permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
23,Shanghai la contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
24,Shanghai a los procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
25,Shanghai producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
26,Shanghai medida de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
27,Shanghai las problemas de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
28,Shanghai propia como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
29,Shanghai la concentración de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
30,Shanghai la capa de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
31,Shanghai el cambio climático es un cambio,"[<'cam':cVc>, <'bio':cvV>]"
32,Shanghai la compra de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
33,Shanghai la contrar con la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
34,Shanghai permitado en las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
35,Shanghai permitado en el petróleo,"[<'pe':cV>, <'tró':ccV>, <'le':cV>, <'o':V>]"
36,Shanghai en el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
37,Shanghai las emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
38,Shanghai carbono y la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
39,Shanghai cambio climático está contra,"[<'con':cVc>, <'tra':ccV>]"
40,Shanghai producido en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
41,Shanghai la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
42,Shanghai la compromisa climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
43,Shanghai de carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
44,Shanghai permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Shanghai la propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
46,Shanghai producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
47,Shanghai la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
48,Shanghai compromitad de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
49,Shanghai contra el cambio climático esta,"[<'es':Vs>, <'ta':cV>]"
50,Shanghai las emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
51,Shanghai de la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
52,Shanghai permitado en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
53,Shanghai producido en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
54,Shanghai de la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
55,Shanghai demanda de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
56,Shanghai compromisa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
57,Shanghai compromiso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
58,Shanghai el promedio de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
59,Shanghai la conferencia de la estada,"[<'es':Vs>, <'ta':cV>, <'da':cV>]"
60,Shanghai la capacidad de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
