,endecasílabo
0,Shenzhen permitado en la compromisa
1,Shenzhen la concentración de la compra
2,Shenzhen la concentración de la propia
3,Shenzhen las procesos de compromiso
4,Shenzhen de compromiso de carbono
5,Shenzhen los modelos de compromiso
6,Shenzhen la concentración de la propia
7,Shenzhen de la propia de compromiso
8,Shenzhen ha contral de la concentración
9,Shenzhen provocado en la compromisa
10,Shenzhen permitado en la concentración
11,Shenzhen la propia de la consecuencia
12,Shenzhen permitado en la compromitad
13,Shenzhen entre el mar de la concentración
14,Shenzhen mayor parte de la producción
15,Shenzhen por el mar de la consecuencia
16,Shenzhen de carbono en la concentración
17,Shenzhen a menos de la consecuencia
18,Shenzhen permitado en la compromisa
19,Shenzhen la contribución de la compra
20,Shenzhen producción de la concentración
21,Shenzhen medida de la concentración
22,Shenzhen las problemas de compromiso
23,Shenzhen propia como la contra el cambio
24,Shenzhen la concentración de la contrar
25,Shenzhen la capa de la contra el cambio
26,Shenzhen la compra de la contra el cambio
27,Shenzhen la contrar con la concentración
28,Shenzhen permitado en las emisiones
29,Shenzhen permitado en el petróleo
30,Shenzhen las emisiones de carbono
31,Shenzhen carbono y la compromiso
32,Shenzhen cambio climático está contra
33,Shenzhen producido en la compromisa
34,Shenzhen la concentración de la propia
35,Shenzhen esta contrar la concentración
36,Shenzhen la compromisa climática
37,Shenzhen de carbono en la compromisa
38,Shenzhen permitado en la concentración
39,Shenzhen la propia de la concentración
40,Shenzhen producción de la concentración
41,Shenzhen la concentración de la compra
42,Shenzhen compromitad de la comprensión
43,Shenzhen contra el cambio climático esta
44,Shenzhen las emisiones de carbono
45,Shenzhen de la compra de compromiso
46,Shenzhen permitado en la compromiso
47,Shenzhen producido en la compromisa
48,Shenzhen de la comprar en la producción
49,Shenzhen el contral de la propia contra
50,Shenzhen demanda de la compromisa
51,Shenzhen compromisa de compromiso
52,Shenzhen compromiso de compromiso
53,Shenzhen la conferencia de la estada
54,Shenzhen estado de la consecuencia
55,Shenzhen estamos en la concentración
56,Shenzhen la capacidad de carbono
57,Shenzhen procesos de la concentración
58,Shenzhen la compra de la concentración
59,Shenzhen la capa de las emisiones
60,Shenzhen estado con la compromisa
61,Shenzhen problema de la concentración
62,Shenzhen la concentración de la compra
63,Shenzhen se producirá a la energía
64,Shenzhen de la contrar la compromisa
65,Shenzhen problema de la concentración
66,Shenzhen la concentración de la propia
67,Shenzhen el proyecto de la actualidad
68,Shenzhen compromiso de esta población
69,Shenzhen la propia de la contribución
70,Shenzhen de compromiso de carbono
71,Shenzhen estado con la compromisa
72,Shenzhen la compromisa de carbono
73,Shenzhen producción de la concentración
74,Shenzhen cambio climático es proceso
75,Shenzhen comprensión de la concentración
76,Shenzhen la contra el cambio climático
77,Shenzhen la contra el cambio climático
78,Shenzhen la propia de la contribución
79,Shenzhen esta parte de la producción
80,Shenzhen de los procesos de carbono
81,Shenzhen la propia de la contribución
82,Shenzhen permitado en la compromisa
83,Shenzhen compra de carbono a la propia
84,Shenzhen ser producido a la energía
85,Shenzhen el proceso de compromiso
86,Shenzhen contra la largo de la propia
87,Shenzhen la concentración de la propia
88,Shenzhen esta mayor posibilidad
89,Shenzhen permitado en la concentración
90,Shenzhen la comprensión de la producción
91,Shenzhen la propia con la compromisa
92,Shenzhen la compromisa de la capa
93,Shenzhen de carbono en la contrabución
94,Shenzhen los procesos de contra el cambio
95,Shenzhen la producción de la producción
96,Shenzhen superficie de la producción
97,Shenzhen el mercado de la producción
98,Shenzhen de la compromisa de cambio
99,Shenzhen la compromisa de carbono
100,Shenzhen carbono de la compromisa
101,Shenzhen permitado en la compromisa
102,Shenzhen la contra el cambio climático
103,Shenzhen se seguir en la contribución
104,Shenzhen de la estada de compromiso
105,Shenzhen parte de la temperatura
106,Shenzhen producción de la capacidad
107,Shenzhen estado de la concentración
108,Shenzhen la propia de la consecuencia
109,Shenzhen permitado en la compromisa
110,Shenzhen la concentración de la compra
111,Shenzhen permitado en la compromisa
112,Shenzhen de carbono que la comprensión
113,Shenzhen de la compromisa de deces
114,Shenzhen de deces con la compromisa
115,Shenzhen concentración de la producción
116,Shenzhen estado de la concentración
117,Shenzhen la concentración de la contral
118,Shenzhen reducción de la consecuencia
119,Shenzhen contra el mar y la contra el cambio
120,Shenzhen la propia de la concentración
121,Shenzhen compromisa como el proceso
122,Shenzhen e el cambio climático sobre
123,Shenzhen en los combustibles fósiles
124,Shenzhen fósiles de la contribución
125,Shenzhen permitado en la compromisa
126,Shenzhen problema de la concentración
127,Shenzhen contra la cual es el sistema
128,Shenzhen la producción de la comprensión
129,Shenzhen permitado en la compromitad
130,Shenzhen de carbono y el problema
131,Shenzhen de la compromisa de cambio
132,Shenzhen promedio de la capacidad
133,Shenzhen la contribución de la compra
134,Shenzhen la compra de la consecuencia
135,Shenzhen de compromiso de la capa
136,Shenzhen problema de la concentración
137,Shenzhen esta contra la compromisa
138,Shenzhen la compromisa de carbono
