,verse,terminacion
0,Shepparton del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Shepparton aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Shepparton países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Shepparton los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Shepparton partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Shepparton de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Shepparton para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Shepparton contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Shepparton las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Shepparton de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Shepparton de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Shepparton sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Shepparton a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Shepparton un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Shepparton ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Shepparton el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Shepparton el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Shepparton contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Shepparton guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Shepparton a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Shepparton a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Shepparton la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Shepparton es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Shepparton el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Shepparton diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Shepparton n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Shepparton me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
27,Shepparton al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
28,Shepparton los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
29,Shepparton se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
30,Shepparton especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
31,Shepparton ir el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
32,Shepparton correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
33,Shepparton para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
34,Shepparton y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
35,Shepparton la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
36,Shepparton de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Shepparton de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Shepparton la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
39,Shepparton contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
40,Shepparton salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Shepparton que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
42,Shepparton la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
43,Shepparton pertinente con la reda,"[<'re':cV>, <'da':cV>]"
44,Shepparton la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
45,Shepparton de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
46,Shepparton los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
47,Shepparton el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
48,Shepparton e se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
49,Shepparton amor para que se poner,"[<'po':cV>, <'ner':cVc>]"
50,Shepparton el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
51,Shepparton de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
52,Shepparton la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
53,Shepparton medio albiente con su fecha,"[<'fec':cVc>, <'ha':cV>]"
54,Shepparton los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
55,Shepparton por el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
56,Shepparton escala de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
57,Shepparton la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
58,Shepparton el consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
59,Shepparton r para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
60,Shepparton se podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
61,Shepparton y las oficinas para,"[<'pa':cV>, <'ra':cV>]"
62,Shepparton marcha de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
63,Shepparton la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
64,Shepparton con bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
65,Shepparton o de los comparaciones,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'cio':cvV>, <'nes':cVs>]"
66,Shepparton los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
67,Shepparton a por consumidor para,"[<'pa':cV>, <'ra':cV>]"
68,Shepparton el siglo xx que los partes,"[<'par':cVc>, <'tes':cVs>]"
69,Shepparton de las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
70,Shepparton utica de la pertida,"[<'per':cVc>, <'ti':cv>, <'da':cV>]"
71,Shepparton la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
72,Shepparton decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
73,Shepparton se puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
74,Shepparton ser concentración del caso,"[<'ca':cV>, <'so':sV>]"
75,Shepparton de la tierra en contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
76,Shepparton el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
77,Shepparton consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
78,Shepparton concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
79,Shepparton la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
80,Shepparton que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
81,Shepparton disponibles contribuyen,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'yen':cVc>]"
82,Shepparton el aumento del problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
83,Shepparton a primer calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
84,Shepparton que están en el medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
85,Shepparton lización de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
86,Shepparton proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
87,Shepparton e la tierra y contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
88,Shepparton y contención de los partes,"[<'par':cVc>, <'tes':cVs>]"
89,Shepparton la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
90,Shepparton sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
91,Shepparton ista disculpa en la lado,"[<'la':cV>, <'do':cV>]"
92,Shepparton ró el mismo de los asuntos,"[<'a':V>, <'sun':svc>, <'tos':cVs>]"
93,Shepparton la previsión de los medios,"[<'me':cV>, <'dios':cvVs>]"
94,Shepparton de carbono e internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
95,Shepparton el problema de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
96,Shepparton e del gas de los altimos,"[<'al':Vc>, <'ti':cv>, <'mos':cVs>]"
97,Shepparton gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
98,Shepparton de los alternos de especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
99,Shepparton parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
100,Shepparton las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
101,Shepparton los efectos para el amor,"[<'a':V>, <'mor':cVc>]"
102,Shepparton para el amor de la función,"[<'fun':cvc>, <'ción':cvVc>]"
103,Shepparton cantidad de mantenida,"[<'man':cVc>, <'te':cV>, <'ni':cv>, <'da':cV>]"
104,Shepparton el calentamiento medio,"[<'me':cV>, <'dio':cvV>]"
105,Shepparton dida de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
106,Shepparton forma de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
107,Shepparton contentación de energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
108,Shepparton de esta curstión de los años,"[<'a':V>, <'ños':cVs>]"
109,Shepparton mos de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
110,Shepparton del producto a los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
111,Shepparton ento de la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
112,Shepparton biológica la cual parte,"[<'par':cVc>, <'te':cV>]"
113,Shepparton e al problema entre el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
114,Shepparton los medios de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
115,Shepparton concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
116,Shepparton del proyecto internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
