,endecasílabo
0,Singapore producto en el proyecto
1,Singapore el proyecto de la tierra
2,Singapore contra la compromisa
3,Singapore carbono a la producción
4,Singapore su propia de la propia
5,Singapore parte de la producción
6,Singapore el mar de la consecuencia
7,Singapore problema de reducir
8,Singapore como la propia como
9,Singapore como la contra el cambio
10,Singapore contra la propia contra
11,Singapore contra la compromisa
12,Singapore la salud de la contrar
13,Singapore el sistema climático
14,Singapore contra las emisiones
15,Singapore emisiones de carbono
16,Singapore se producir el cambio
17,Singapore cambio climático está
18,Singapore climático está contra
19,Singapore contrar la concentración
20,Singapore contra la compromisa
21,Singapore menos de la comprensión
22,Singapore sobre la compromisa
23,Singapore ser en la compromiso
24,Singapore permitado en la propia
25,Singapore contra las emisiones
26,Singapore emisiones de carbono
27,Singapore el cambio climático esta
28,Singapore problema de la comprar
29,Singapore en el contrado en el cambio
30,Singapore el proceso de la propia
31,Singapore contrar con la estrategia
32,Singapore la cual con la producción
33,Singapore la propia climática
34,Singapore permitan para el cambio
35,Singapore de carbono a la propia
36,Singapore sobre la economía
37,Singapore sobre la capacidad
38,Singapore producción de la compra
39,Singapore de la compra de cambio
40,Singapore permitado en la propia
41,Singapore propia de contra el cambio
42,Singapore producto de la contrar
43,Singapore las contrabulidades
44,Singapore parte de la producción
45,Singapore climático es la propia
46,Singapore la propia contra el cambio
47,Singapore contra la compromisa
48,Singapore medio de la demanda
49,Singapore la contra el combustible
50,Singapore la mayor actividad
51,Singapore permitado en la propia
52,Singapore de la temperatura
53,Singapore parte de la producción
54,Singapore de las contribuciones
55,Singapore capa de compromiso
56,Singapore la propia compromiso
57,Singapore compromiso de contra
58,Singapore contra la compromisa
59,Singapore producción de la compra
60,Singapore de carbono a la propia
61,Singapore a la propia de carbono
62,Singapore contra la concentración
63,Singapore contrar la compromisa
64,Singapore la largo de la propia
65,Singapore mayor posibilidad
66,Singapore promedio de la compra
67,Singapore de la temperatura
68,Singapore ser de la concentración
69,Singapore climático es un cambio
70,Singapore contra la compromisa
71,Singapore contrado de carbono
72,Singapore producirá en la propia
73,Singapore la energía en la propia
74,Singapore el mar y la contra el cambio
75,Singapore energía necesaria
76,Singapore la capa de la compra
77,Singapore la cual es el sistema
78,Singapore energía contra el cambio
79,Singapore esta mayor producida
80,Singapore mar en la compromisa
81,Singapore contra la compromisa
82,Singapore propia de los procesos
83,Singapore de la temperatura
84,Singapore en el cambio climático
85,Singapore de la compra de cambio
86,Singapore cambio climático esta
87,Singapore contra la compromisa
88,Singapore de la temperatura
89,Singapore permitado en la propia
90,Singapore contra las emisiones
91,Singapore una vez más de la contrar
92,Singapore la propia contra el cambio
93,Singapore menos de contra el cambio
94,Singapore permitado en la cumbre
95,Singapore la compra de consumo
96,Singapore compromisa de cambio
97,Singapore de cambio climático
98,Singapore contra la compromiso
99,Singapore marco de la secuedad
100,Singapore contra la compromisa
101,Singapore estado de la comprensión
102,Singapore desarrollar la estada
103,Singapore contra la compromisa
104,Singapore mantenimiento sobre
105,Singapore compromiso de todo
106,Singapore todo la contra el cambio
107,Singapore de la temperatura
108,Singapore comprensión de la compra
109,Singapore producción de la compra
110,Singapore entre el cambio climático
111,Singapore compromiso de contra
112,Singapore parte de los países
113,Singapore contra las emisiones
114,Singapore emisiones de carbono
115,Singapore climático establecir
116,Singapore producción de la mayor
117,Singapore de la mayor producción
118,Singapore en el cambio climático
119,Singapore contra la compromisa
120,Singapore la capa de la contrar
121,Singapore el mar de la contribución
122,Singapore a el desarrollo sontente
123,Singapore compromiso de carbón
124,Singapore emisiones de carbono
125,Singapore parte de la producción
126,Singapore de la energía contra
127,Singapore contra la concentración
128,Singapore estado de la comprensión
129,Singapore mar de la contribución
130,Singapore un contrado en el contexto
131,Singapore en la compromisa central
132,Singapore el que producir el cambio
133,Singapore compromiso en la ciencia
134,Singapore en la ciencia de la contrar
135,Singapore el cambio climático esta
136,Singapore se producir el cambio
137,Singapore la contrar los contrales
138,Singapore el consumo de carbono
139,Singapore carbono en la atmósfera
140,Singapore la esta a la concentración
141,Singapore permitado en la propia
142,Singapore metos las emisiones
143,Singapore producido en la propia
144,Singapore en la propia contra el cambio
145,Singapore energía para el cambio
146,Singapore contra la concentración
147,Singapore producto a la producción
148,Singapore el calentamiento global
149,Singapore contra la compromisa
150,Singapore carbono a la producción
151,Singapore contra la concentración
152,Singapore contra la compromisa
153,Singapore contra la contra el cambio
154,Singapore contrado en la comprensión
155,Singapore segundo las mayores
156,Singapore las mayores producción
157,Singapore contra la compromisa
158,Singapore en el cambio climático
159,Singapore el cambio climático esta
160,Singapore problema de la propia
161,Singapore la propia como contra
162,Singapore contra la diversidad
163,Singapore parte de la producción
164,Singapore contra la contra el cambio
165,Singapore contra las emisiones
166,Singapore emisiones de carbono
167,Singapore carbono de la propia
168,Singapore con la propia de cambio
169,Singapore desarrollar el cambio
170,Singapore climático en el cambio
171,Singapore contra la compromisa
172,Singapore el mercado de la contrar
173,Singapore ser seguir en el cambio
174,Singapore contra la capacidad
175,Singapore la propia contra el cambio
176,Singapore contra la diversidad
177,Singapore se prevenda a la propia
178,Singapore contra la concentración
179,Singapore la compromisa contra
180,Singapore contra la concentración
181,Singapore propia en la compromisa
182,Singapore la propia contra el cambio
183,Singapore cambio climático esta
184,Singapore esta puede a la estratora
185,Singapore contra la concentración
186,Singapore intersidad biológica
187,Singapore contra la compromisa
188,Singapore climático es de arrollo
189,Singapore contra las emisiones
190,Singapore emisiones de carbono
191,Singapore la contrar la contración
192,Singapore el mar de la contra el cambio
193,Singapore la propia de consumo
194,Singapore contra la concentración
195,Singapore contra la compromisa
196,Singapore contra la contribución
197,Singapore el mar de la concentración
198,Singapore carbono y la contrar
199,Singapore contra la contrabución
200,Singapore problema de la compra
201,Singapore contra la consecuencia
202,Singapore de la estada de la esta
203,Singapore de la temperatura
204,Singapore energía necesaria
205,Singapore contra la compromisa
206,Singapore en el cambio climático
207,Singapore el cambio climático esta
208,Singapore producido en la contral
209,Singapore segundo particular
210,Singapore particular el cambio
211,Singapore la compra de la propia
212,Singapore en la propia como el cambio
213,Singapore se han estableciente
214,Singapore contra la compromisa
215,Singapore compromiso de un medio
216,Singapore sobre la compromisa
217,Singapore sobre la compromisa
218,Singapore contra la compromisa
219,Singapore de la temperatura
220,Singapore menos de la estratoral
221,Singapore producido en la propia
222,Singapore producción de la propia
223,Singapore parte de la comprención
224,Singapore contra la compromiso
225,Singapore carbono y la propia
