,endecasílabo
0,Soweto del proyecto la actividad
1,Soweto países de nuestro parte
2,Soweto los eficientes con partes
3,Soweto partes de la economía
4,Soweto de los s en el carbono
5,Soweto para marcio a la presencia
6,Soweto a la presencia de la salud
7,Soweto contonce más el peligro
8,Soweto las partes de la biosfera
9,Soweto de la biosfera de precios
10,Soweto de la alternción de la salud
11,Soweto sa amplia de la concentración
12,Soweto es un siglo xx estos partes
13,Soweto ndia de las concentraciones
14,Soweto contribución del proceso
15,Soweto guardo estado a la subida
16,Soweto la actual de las cubiertales
17,Soweto aumenta de las emisiones
18,Soweto en el que se definitica
19,Soweto diración de los países
20,Soweto a la intersión del capacidad
21,Soweto n el que debe el mercado
22,Soweto me considerable al siglo
23,Soweto los metos de la ingenida
24,Soweto se desalian el especie
25,Soweto correstos de alternaciones
26,Soweto para la temperatura
27,Soweto y los países de efectos
28,Soweto la conferencia se pueden
29,Soweto de los periodos de calor
30,Soweto de calor de los países
31,Soweto la tierra por un consenso
32,Soweto en el carbón y al contexto
33,Soweto contribución en la esta alla
34,Soweto salia del calentamiento
35,Soweto que los neoliberales
36,Soweto la aperación de la centra
37,Soweto pertinente con la reda
38,Soweto la reda de la cantidad
39,Soweto de la cantidad de tiempo
40,Soweto los procesos de la inversión
41,Soweto energía no en los dectriales
42,Soweto actividades políticos
43,Soweto de la oriente climática
44,Soweto la temperatura medio
45,Soweto medio albiente con su fecha
46,Soweto los combustibles fósiles
47,Soweto por el paso de la guerra
48,Soweto en la cauta de las segundas
49,Soweto la forma de casa informe
50,Soweto r para mayor aumento
51,Soweto se podría energética
52,Soweto y las oficinas para
53,Soweto marcha de la mayoría
54,Soweto la mayoría del control
55,Soweto con bien en el correcionar
56,Soweto los comparaciones de esta
57,Soweto de las pautas de emisiones
58,Soweto la pertida de la tierra
59,Soweto decientes energéticos
60,Soweto se puede ser concentración
61,Soweto ser concentración del caso
62,Soweto de la tierra en contribución
63,Soweto consumo con el estado
64,Soweto concentración de los medios
65,Soweto la manor aliminación
66,Soweto que se hace la energía
67,Soweto disponibles contribuyen
68,Soweto en el carbón en los estrenos
69,Soweto que están en el medio ambiente
70,Soweto lización de los efectos
71,Soweto proceso de los países
72,Soweto y contención de los partes
73,Soweto la actividad de las gases
74,Soweto sociedad de la población
75,Soweto en la lado de los países
76,Soweto ró el mismo de los asuntos
77,Soweto la previsión de los medios
78,Soweto establecida de carbono
79,Soweto de carbono e internacional
80,Soweto gas de los altimos o antes
81,Soweto de los alternos de especies
82,Soweto en los países de emisiones
83,Soweto parte de las emisiones
84,Soweto las emisiones del nivel
85,Soweto los efectos para el amor
86,Soweto para el amor de la función
87,Soweto cantidad de mantenida
88,Soweto dida de las emisiones
89,Soweto forma de la concentración
90,Soweto contentación de energía
91,Soweto energía por el contexto
92,Soweto de esta curstión de los años
93,Soweto mos de la temperatura
94,Soweto del producto a los estados
95,Soweto biológica la cual parte
96,Soweto estado de las cancidades
97,Soweto electricidad y el poner
98,Soweto el poner en la comparación
99,Soweto los medios de los países
100,Soweto concentración del proyecto
101,Soweto del proyecto internacional
102,Soweto en los retroposos de capaz
103,Soweto reducida del principal
104,Soweto menida muy retropolé
105,Soweto ha encreto de los distintos
106,Soweto de los civilizaciones
107,Soweto de los periodos del pauso
108,Soweto al medio ambiente en la energía
109,Soweto n medidas por la emisión
110,Soweto en el carbón y consecuencia
111,Soweto en un modelo en el consumo
112,Soweto al banco de la seguridad
113,Soweto el mercado de las persigues
114,Soweto agua tantos de los modelos
115,Soweto de los países previstos
116,Soweto los procesos que permitan
117,Soweto países temperaturas
118,Soweto desarrollo y la inversión
119,Soweto contribución del mar soda
120,Soweto en el consumo en la sociedad
121,Soweto el distinto de la actividad
122,Soweto medio ambiente con la parte
123,Soweto de los solor por el carbón
124,Soweto disminución con el sector
125,Soweto internacional del convenio
126,Soweto a la demanda del proyecto
127,Soweto la fuerte de la actividad
128,Soweto la cual controlar el amor
129,Soweto las partes de los procesos
130,Soweto el convenio sobre el sistema
131,Soweto lo que es algo de la mayor
132,Soweto carbón de la economía
133,Soweto consecuencia energética
134,Soweto países de los pationes
135,Soweto la estrategia de los pales
136,Soweto la cantidad de las pasia
137,Soweto la sociedad de la tierra
138,Soweto carbono de la actividad
139,Soweto de gei y el consecuencia
140,Soweto de la cumbre del clima este
141,Soweto de la cupación al madio
142,Soweto n cantidad de los partes
143,Soweto tando el problema del nivel
144,Soweto la concentración del país
145,Soweto es alguno de los sectores
146,Soweto de la ciencia de el problema
147,Soweto de los productos del punto
148,Soweto por el marco de los partes
149,Soweto de las últimas décadas
150,Soweto décadas en la actividad
151,Soweto medioambiental que pueden
152,Soweto calentamiento del marco
153,Soweto sociedad para compesar
154,Soweto compesar de los países
155,Soweto contidad de los países
156,Soweto de la opinión en la emisión
157,Soweto de carbono en la energía
158,Soweto sucuento al besoar medio
159,Soweto el climático en la energía
160,Soweto los combustibles fósiles
161,Soweto de los sueños de carbono
162,Soweto en la actualización del clima
163,Soweto por el siglo xx proyecto
164,Soweto fundo de la contribución
165,Soweto nivel del mar de permitir
166,Soweto la marta de los países
167,Soweto incertidumbre en la matura
168,Soweto los crecimientos previstos
169,Soweto la sociedad sobre el siglo
170,Soweto n amor en el consumo
171,Soweto amor en el consumo medio
172,Soweto en el consumo medio albental
173,Soweto los consumo de la vida
174,Soweto los estados de los gases
175,Soweto partes de la terrenasión
176,Soweto de la reducción del clima
177,Soweto ntra el nuevo siglo de la esta
178,Soweto a los países en la intersión
179,Soweto en el consenso del aumento
180,Soweto los supuestos para el algo
181,Soweto que esta ver su distribución
182,Soweto las partes de los países
183,Soweto do campan previsto puede
184,Soweto en el reino en los combustibles
185,Soweto de ser pasados se deben
186,Soweto un medida de los países
187,Soweto y de los gases de efecto
188,Soweto ficación de los tres estas
189,Soweto de los tres estas posibles
190,Soweto la segunda concentración
191,Soweto climático es un problema
192,Soweto un problema de compensación
193,Soweto se ha sido en el periodo
194,Soweto la salud la de la corta
195,Soweto calentamiento de ciencia
196,Soweto cos siguientes en el sector
197,Soweto puede tierra serán altas
198,Soweto medidas de carbono están
199,Soweto de carbono están continuar
200,Soweto la capa que me de mi esta
201,Soweto de carbono de este interse
202,Soweto que la forma internacional
203,Soweto forma internacional de esta
204,Soweto los países de los medios
205,Soweto los s en la demorica
206,Soweto la energía para anterior
207,Soweto de los s en la energía
208,Soweto de los políticos medios
209,Soweto muy probable que el problema
210,Soweto cambien el transmision como
211,Soweto desarrollar la actualidad
212,Soweto de carbono en los proyectos
213,Soweto de carbono es el sistema
214,Soweto estableción de la subida
215,Soweto posible en el seguimiento
216,Soweto internacional el enfrento
217,Soweto y de la energía solar
218,Soweto de la esta tu seguridad
219,Soweto de los partes de las partes
220,Soweto ra precisa en la actualidad
221,Soweto cimportar un forzamiento
222,Soweto un forzamiento reducido
223,Soweto rando de la economía
224,Soweto evolución de los hidrogos
225,Soweto proyecto de la actividad
226,Soweto actividad del clima en la esta
227,Soweto carbono a la interesidad
228,Soweto presentar la concentración
229,Soweto concentración del posible
230,Soweto la energía necesaria
231,Soweto la emisión en la actividad
232,Soweto controlar la definición
233,Soweto demendiente de adiptación
234,Soweto los países de la inversión
235,Soweto los países de co contral
236,Soweto emisiones de co que es amor
237,Soweto de las palionas de forma
238,Soweto del proyecto internacional
239,Soweto de la estrategia del orden
240,Soweto por el marco del informe
241,Soweto de en la mayor energía
242,Soweto en la mayor energía esta
243,Soweto considerado en partorer
244,Soweto a la demanda de la tierra
245,Soweto en el menos de la mitura
246,Soweto y el peligro de precios
247,Soweto de los pales de producto
248,Soweto el proyecto de antiar el carbón
249,Soweto proceso de los países
250,Soweto los países me favores
251,Soweto istorta en la era que el paleo
252,Soweto los combustibles fósiles
253,Soweto y la energía nacional
254,Soweto la capacidad de decir
255,Soweto de decir el objetivo
256,Soweto las actividades para
257,Soweto de la sociedad como alta
258,Soweto informe de las altas de una
259,Soweto n el algune prevento
260,Soweto prevento de los segundos
261,Soweto de los segundos estados
262,Soweto amor de hacer o a mi cara
263,Soweto en la cantidad de las partes
264,Soweto de las cubres del proyecto
265,Soweto la estructura energética
266,Soweto el parece de la energía
267,Soweto la interesista de nuestro
268,Soweto el sub estado de la tierra
269,Soweto de los modelos de estados
270,Soweto las emisiones de emisión
271,Soweto los estados del problema
272,Soweto problema de los décadas
273,Soweto a los s en la economía
274,Soweto del clima de la actividad
275,Soweto medidas de los países
276,Soweto los países por el marco
277,Soweto consumo de los países
278,Soweto n la presente argumental
279,Soweto argumental de las procesos
280,Soweto carbono y el contexto
281,Soweto de las precipitaciones
282,Soweto del siglo xx que la cumbre
283,Soweto contribución de la industria
284,Soweto de la industria disponible
285,Soweto de la energía y una
286,Soweto los cubris de la medida
287,Soweto partes de la que el estreto
288,Soweto la que el estreto así como
289,Soweto de los contaminaciones
290,Soweto esta tendencia en la energía
291,Soweto cción de los economistas
292,Soweto se ha encustrido en la calad
293,Soweto parte de las maldiciones
294,Soweto la parte de los estados
295,Soweto reducción de la mitura
296,Soweto particular en cantidad
297,Soweto carbono altas en el ance
298,Soweto en el ance se despectiva
299,Soweto el consumo de los mercados
300,Soweto los mercados de los pales
301,Soweto en los combustibles fósiles
302,Soweto actividad de los países
