,verse,terminacion
0,Soweto del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Soweto países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Soweto los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Soweto partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Soweto de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Soweto para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Soweto a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Soweto contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Soweto las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Soweto de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Soweto de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Soweto sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Soweto es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Soweto ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Soweto contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Soweto guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Soweto la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Soweto aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Soweto en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Soweto diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Soweto a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Soweto n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Soweto me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Soweto los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Soweto se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Soweto correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Soweto para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Soweto y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Soweto la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Soweto de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
30,Soweto de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
31,Soweto la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
32,Soweto en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
33,Soweto contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
34,Soweto salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
35,Soweto que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
36,Soweto la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
37,Soweto pertinente con la reda,"[<'re':cV>, <'da':cV>]"
38,Soweto la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
39,Soweto de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
40,Soweto los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
41,Soweto energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
42,Soweto actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
43,Soweto de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
44,Soweto la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
45,Soweto medio albiente con su fecha,"[<'fec':cVc>, <'ha':cV>]"
46,Soweto los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Soweto por el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
48,Soweto en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
49,Soweto la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
50,Soweto r para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
51,Soweto se podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
52,Soweto y las oficinas para,"[<'pa':cV>, <'ra':cV>]"
53,Soweto marcha de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
54,Soweto la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
55,Soweto con bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
56,Soweto los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
