,endecasílabo
0,Soweto permitado en la atmósfera
1,Soweto en el proyecto de la tierra
2,Soweto de carbono a la producción
3,Soweto problema de compromiso
4,Soweto modelos de compromiso
5,Soweto contribución de la propia
6,Soweto entre el mar de la concentración
7,Soweto carbono en la concentración
8,Soweto menos de la consecuencia
9,Soweto parte de la concentración
10,Soweto parte de la concentración
11,Soweto mundial de la concentración
12,Soweto contribución de la compra
13,Soweto mayor parte de la salud
14,Soweto marca de la concentración
15,Soweto mayor en la compromisa
16,Soweto climático como el cambio
17,Soweto como el cambio climático
18,Soweto producto en la compromisa
19,Soweto el petróleo y la propia
20,Soweto marco de la concentración
21,Soweto climático en la atmósfera
22,Soweto está contra la compromica
23,Soweto marca de la concentración
24,Soweto parte de la contra el cambio
25,Soweto política en la producción
26,Soweto climática y el cambio
27,Soweto carbono en la compromisa
28,Soweto propia de la concentración
29,Soweto contra el cambio climático
30,Soweto contra el cambio climático
31,Soweto el cambio climático sobre
32,Soweto menos de la compromisa
33,Soweto la compra de compromiso
34,Soweto marco de la concentración
35,Soweto la comprar en la producción
36,Soweto por el contral de la propia
37,Soweto el contral de la propia contra
38,Soweto en el proceso de la propia
39,Soweto la contrar con la estrategia
40,Soweto permitado de la propia
41,Soweto de la propia climática
42,Soweto para el cambio climático
43,Soweto contra el cambio climático
44,Soweto el cambio climático sobre
45,Soweto la producción de la compra
46,Soweto permitado de la compra
47,Soweto parte de la compromisa
48,Soweto emisiones de contra el cambio
49,Soweto la propia de contra el cambio
50,Soweto producirá a la energía
51,Soweto el proyecto de la actualidad
52,Soweto permitado de la propia
53,Soweto de la propia contra el cambio
54,Soweto menos de la concentración
55,Soweto permitado por la propia
56,Soweto el contrado en la compromisa
57,Soweto parte de la compromisa
58,Soweto en la propia de la comprensión
59,Soweto contra el cambio climático
60,Soweto contra el cambio climático
61,Soweto menos precipitaciones
62,Soweto permita de la producción
63,Soweto la capa de compromiso
64,Soweto de contra la compromisa
65,Soweto menos de la compromisa
66,Soweto por el mar en la producción
67,Soweto permita en la compromisa
68,Soweto la producción de la compra
69,Soweto contra el cambio climático
70,Soweto permitado de la estado
71,Soweto producido a la energía
72,Soweto el proceso de compromiso
73,Soweto parte de la contra el cambio
74,Soweto de contra la compromisa
75,Soweto la contrar la compromisa
76,Soweto comprensión de la producción
77,Soweto propia con la compromisa
78,Soweto permita en la compromisa
79,Soweto por el cambio climático
80,Soweto problema de la producción
81,Soweto parte de la compromisa
82,Soweto la propia de la comprensión
83,Soweto el mercado de la producción
84,Soweto permitado en la producción
85,Soweto seguir en la contribución
86,Soweto la estada de compromiso
87,Soweto parte de la concentración
88,Soweto la propia como el problema
89,Soweto problema con la atmósfera
90,Soweto carbono que la comprensión
91,Soweto la compromisa de deces
92,Soweto deces con la compromisa
93,Soweto se producirá en la propia
94,Soweto en la propia de compromiso
95,Soweto manor en la compromisa
96,Soweto modelo de la producción
97,Soweto el cambio climático sobre
98,Soweto la energía necesaria
99,Soweto los combustibles fósiles
100,Soweto la propia como el estado
101,Soweto compromiso de carbono
102,Soweto carbono y el problema
103,Soweto la energía contra el cambio
104,Soweto contribución de la compra
105,Soweto se esta mayor producida
106,Soweto compromiso de la capa
107,Soweto el contrado en la compromisa
108,Soweto producto a las emisiones
109,Soweto la propia de los procesos
110,Soweto el contrado en la concentración
111,Soweto segundo de la producción
112,Soweto la comprensión de la propia
113,Soweto a la propia de compromiso
114,Soweto permitado en la comprensión
115,Soweto parte de la concentración
116,Soweto parte de la compromisa
117,Soweto climático en la producción
118,Soweto parte de la compromisa
119,Soweto el proceso de la comprensión
120,Soweto la producción de la compra
121,Soweto la compra de la producción
122,Soweto menos de la compromisa
123,Soweto marco de la concentración
124,Soweto menos en la concentración
125,Soweto ser estado a la producción
126,Soweto contra el cambio climático
127,Soweto los procesos de carbono
128,Soweto seguridad establecir
129,Soweto parte de la contribución
130,Soweto parte de la compromisa
131,Soweto consecuencia de la contrar
132,Soweto la contrar la compromisa
133,Soweto en la producción de la capa
134,Soweto en la cumbre de la actualidad
135,Soweto la compra de la estructura
136,Soweto contra el cambio climático
137,Soweto de la compra de consumo
138,Soweto la compromisa de cambio
139,Soweto por el cambio climático
140,Soweto permitado en el promedio
141,Soweto la estado de la comprensión
142,Soweto se desarrollar la estada
143,Soweto mercado de la energía
144,Soweto carbono en la compromisa
145,Soweto menos de la concentración
146,Soweto permitado en la producción
147,Soweto contración de la producción
148,Soweto el contral de la concentración
149,Soweto de todo la contra el cambio
150,Soweto menos de la concentración
151,Soweto contra el cambio climático
152,Soweto la comprensión de la compra
153,Soweto la producción de la compra
154,Soweto parte de la concentración
155,Soweto menos de la concentración
156,Soweto proceso de esta producción
157,Soweto proceso de compromiso
158,Soweto sin embargo se producir
159,Soweto contra el mar en la atmósfera
160,Soweto de compromiso de contra
161,Soweto contra la temperatura
162,Soweto menos de la concentración
163,Soweto carbono que los países
164,Soweto la producción de la mayor
165,Soweto problema de la producción
166,Soweto de compromiso de contra
167,Soweto menos de la contribución
168,Soweto por el cambio climático
169,Soweto climático y la propia
170,Soweto de compromiso de carbón
171,Soweto carbono en la compromisa
172,Soweto permitado de la tierra
173,Soweto carbono por un problema
174,Soweto de combustibles fósiles
175,Soweto producto en la concentración
176,Soweto proceso de compromiso
177,Soweto el proyecto en la compromisa
178,Soweto contra el cambio climático
179,Soweto medida de compromiso
180,Soweto la estado de la comprensión
181,Soweto parte de la comprendencia
182,Soweto la comprensión de la compra
183,Soweto de la compra de carbono
184,Soweto proceso de compromiso
185,Soweto desarrollar el problema
186,Soweto compromiso de la contrar
187,Soweto la compromisa de cambio
188,Soweto contra el cambio climático
189,Soweto segundo contra la propia
190,Soweto la propia de compromiso
191,Soweto la propia de compromiso
192,Soweto compromiso de la compra
193,Soweto de carbono en la atmósfera
194,Soweto menos en la contribución
195,Soweto menos en las emisiones
196,Soweto carbono en la compromisa
197,Soweto ser producido en la propia
198,Soweto la energía para el cambio
199,Soweto a la producción de la propia
200,Soweto parte de la concentración
201,Soweto de carbono a la producción
202,Soweto de compromiso de cambio
203,Soweto tendría en la consecuencia
204,Soweto consecuencia de la contrar
205,Soweto la contrar la concentración
206,Soweto de contra la contra el cambio
207,Soweto en la comprensión de la estada
208,Soweto en el cambio climático esta
209,Soweto de la propia como contra
210,Soweto producto en la contra el cambio
211,Soweto productos de la producción
212,Soweto propio con la concentración
213,Soweto de carbono de la propia
214,Soweto marca de la concentración
215,Soweto producción de la producción
216,Soweto contra la compromicado
217,Soweto la producción de la compra
218,Soweto países de contra el cambio
219,Soweto se desarrollar el cambio
220,Soweto problema de compromiso
221,Soweto medida de la intersidad
222,Soweto el proceso de contra el cambio
223,Soweto conjunto de compromiso
224,Soweto la producción de la compra
225,Soweto en la concentración de la actual
226,Soweto consecuencia de la compren
227,Soweto la compren de consecuencia
228,Soweto parte de la contribución
229,Soweto contra el cambio climático
230,Soweto compromiso de la mayor
231,Soweto secuedad de la atmósfera
232,Soweto la mayor por la producción
233,Soweto la producción de la compra
234,Soweto la propia en la compromisa
235,Soweto contra el cambio climático
236,Soweto la demanda de la propia
237,Soweto de la propia contra el cambio
238,Soweto contra el cambio climático
239,Soweto la intersidad biológica
240,Soweto la compromisa continuar
241,Soweto de la contrar la contración
242,Soweto el problema de compromiso
243,Soweto parte de la compromisa
244,Soweto contra el cambio climático
245,Soweto contra el cambio climático
246,Soweto economía necesitad
247,Soweto parte de la contra el cambio
248,Soweto permitado en el consumo
249,Soweto parte de la contra el cambio
250,Soweto menos de la concentración
251,Soweto de carbono y la contrar
252,Soweto compromiso de la propia
253,Soweto la energía necesaria
254,Soweto carbono a la compromisa
255,Soweto en el cambio climático esta
256,Soweto ser producido en la contral
257,Soweto parte de la concentración
258,Soweto compra de la propia como
259,Soweto el contrado en la propia como
260,Soweto compromisa contra el cambio
261,Soweto contra el cambio climático
262,Soweto el cambio climático sobre
263,Soweto de compromiso de un medio
264,Soweto permitan para la compra
265,Soweto la compra de compromiso
266,Soweto la propia de la comprensión
267,Soweto cambio climático sobre
268,Soweto la propia de compromiso
269,Soweto marco de la concentración
270,Soweto la temperatura mundial
271,Soweto ser producido en la propia
272,Soweto la propia con la producción
273,Soweto parte de la concentración
274,Soweto menos en la compromisa
275,Soweto en el mar de la contribución
276,Soweto propuesta en la contrabución
277,Soweto marco de la concentración
278,Soweto de carbono y la propia
279,Soweto el sumento de la demanda
