,verse,terminacion
0,Soweto permitado en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
1,Soweto en el proyecto de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
2,Soweto de carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Soweto problema de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Soweto modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
5,Soweto contribución de la propia,"[<'pro':ccV>, <'pia':cvV>]"
6,Soweto entre el mar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
7,Soweto carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Soweto menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
9,Soweto parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,Soweto parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,Soweto mundial de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Soweto contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
13,Soweto mayor parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
14,Soweto marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
15,Soweto mayor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Soweto climático como el cambio,"[<'cam':cVc>, <'bio':cvV>]"
17,Soweto como el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
18,Soweto producto en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,Soweto el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
20,Soweto marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
21,Soweto climático en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
22,Soweto está contra la compromica,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'ca':cV>]"
23,Soweto marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
24,Soweto parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
25,Soweto política en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
26,Soweto climática y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
27,Soweto carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
28,Soweto propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
29,Soweto contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
30,Soweto contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Soweto el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
32,Soweto menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
33,Soweto la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
34,Soweto marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
35,Soweto la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,Soweto por el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
37,Soweto el contral de la propia contra,"[<'con':cVc>, <'tra':ccV>]"
38,Soweto en el proceso de la propia,"[<'pro':ccV>, <'pia':cvV>]"
39,Soweto la contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
40,Soweto permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
41,Soweto de la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
42,Soweto para el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
43,Soweto contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
44,Soweto el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
45,Soweto la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
