,verse,terminacion
0,Sydney permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
1,Sydney la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
2,Sydney la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
3,Sydney las procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Sydney de compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Sydney los modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
6,Sydney la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
7,Sydney de la propia de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
8,Sydney ha contral de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
9,Sydney provocado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
10,Sydney permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,Sydney la propia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
12,Sydney permitado en la compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
13,Sydney entre el mar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
14,Sydney mayor parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
15,Sydney por el mar de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
16,Sydney de carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
17,Sydney a menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
18,Sydney permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,Sydney la contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
20,Sydney producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
21,Sydney medida de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
22,Sydney las problemas de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
23,Sydney propia como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
24,Sydney la concentración de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
25,Sydney la capa de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
26,Sydney la compra de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
27,Sydney la contrar con la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
28,Sydney permitado en las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
29,Sydney permitado en el petróleo,"[<'pe':cV>, <'tró':ccV>, <'le':cV>, <'o':V>]"
30,Sydney las emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
31,Sydney carbono y la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
32,Sydney cambio climático está contra,"[<'con':cVc>, <'tra':ccV>]"
33,Sydney producido en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
34,Sydney la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
35,Sydney esta contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
36,Sydney la compromisa climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
37,Sydney de carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
38,Sydney permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
39,Sydney la propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
40,Sydney producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
41,Sydney la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
42,Sydney compromitad de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
43,Sydney contra el cambio climático esta,"[<'es':Vs>, <'ta':cV>]"
44,Sydney las emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
