,verse,terminacion
0,São Martinho proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,São Martinho aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,São Martinho de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,São Martinho los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
4,São Martinho los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,São Martinho la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
6,São Martinho nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
7,São Martinho amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,São Martinho el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
9,São Martinho un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
10,São Martinho márido de la carta,"[<'car':cVc>, <'ta':cV>]"
11,São Martinho un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
12,São Martinho de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
13,São Martinho consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
14,São Martinho en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,São Martinho de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
16,São Martinho calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,São Martinho las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,São Martinho la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
19,São Martinho la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
20,São Martinho te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,São Martinho actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,São Martinho de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,São Martinho ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
24,São Martinho el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
25,São Martinho de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
26,São Martinho compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
27,São Martinho carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
28,São Martinho re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,São Martinho considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
30,São Martinho al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
31,São Martinho lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,São Martinho especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
33,São Martinho de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,São Martinho de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
35,São Martinho los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
36,São Martinho los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,São Martinho calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,São Martinho permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
39,São Martinho de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,São Martinho contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
41,São Martinho de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,São Martinho los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
