,endecasílabo
0,São Paulo permitado en la atmósfera
1,São Paulo en el proyecto de la tierra
2,São Paulo de carbono a la producción
3,São Paulo problema de compromiso
4,São Paulo modelos de compromiso
5,São Paulo contribución de la propia
6,São Paulo entre el mar de la concentración
7,São Paulo carbono en la concentración
8,São Paulo menos de la consecuencia
9,São Paulo parte de la concentración
10,São Paulo parte de la concentración
11,São Paulo mundial de la concentración
12,São Paulo contribución de la compra
13,São Paulo mayor parte de la salud
14,São Paulo marca de la concentración
15,São Paulo mayor en la compromisa
16,São Paulo climático como el cambio
17,São Paulo como el cambio climático
18,São Paulo producto en la compromisa
19,São Paulo el petróleo y la propia
20,São Paulo marco de la concentración
21,São Paulo climático en la atmósfera
22,São Paulo está contra la compromica
23,São Paulo marca de la concentración
24,São Paulo parte de la contra el cambio
25,São Paulo política en la producción
26,São Paulo climática y el cambio
27,São Paulo carbono en la compromisa
28,São Paulo propia de la concentración
29,São Paulo contra el cambio climático
30,São Paulo contra el cambio climático
31,São Paulo el cambio climático sobre
32,São Paulo menos de la compromisa
33,São Paulo la compra de compromiso
34,São Paulo marco de la concentración
35,São Paulo la comprar en la producción
36,São Paulo por el contral de la propia
37,São Paulo el contral de la propia contra
38,São Paulo en el proceso de la propia
39,São Paulo la contrar con la estrategia
40,São Paulo permitado de la propia
41,São Paulo de la propia climática
42,São Paulo para el cambio climático
43,São Paulo contra el cambio climático
44,São Paulo el cambio climático sobre
45,São Paulo la producción de la compra
46,São Paulo permitado de la compra
47,São Paulo parte de la compromisa
48,São Paulo emisiones de contra el cambio
49,São Paulo la propia de contra el cambio
50,São Paulo producirá a la energía
51,São Paulo el proyecto de la actualidad
52,São Paulo permitado de la propia
53,São Paulo de la propia contra el cambio
54,São Paulo menos de la concentración
55,São Paulo permitado por la propia
56,São Paulo el contrado en la compromisa
57,São Paulo parte de la compromisa
58,São Paulo en la propia de la comprensión
59,São Paulo contra el cambio climático
60,São Paulo contra el cambio climático
61,São Paulo menos precipitaciones
62,São Paulo permita de la producción
63,São Paulo la capa de compromiso
64,São Paulo de contra la compromisa
65,São Paulo menos de la compromisa
66,São Paulo por el mar en la producción
67,São Paulo permita en la compromisa
68,São Paulo la producción de la compra
69,São Paulo contra el cambio climático
70,São Paulo permitado de la estado
71,São Paulo producido a la energía
72,São Paulo el proceso de compromiso
73,São Paulo parte de la contra el cambio
74,São Paulo de contra la compromisa
75,São Paulo la contrar la compromisa
76,São Paulo comprensión de la producción
77,São Paulo propia con la compromisa
78,São Paulo permita en la compromisa
79,São Paulo por el cambio climático
80,São Paulo problema de la producción
81,São Paulo parte de la compromisa
82,São Paulo la propia de la comprensión
83,São Paulo el mercado de la producción
84,São Paulo permitado en la producción
85,São Paulo seguir en la contribución
86,São Paulo la estada de compromiso
87,São Paulo parte de la concentración
