,verse,terminacion
0,São Paulo permitado en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
1,São Paulo en el proyecto de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
2,São Paulo de carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,São Paulo problema de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,São Paulo modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
5,São Paulo contribución de la propia,"[<'pro':ccV>, <'pia':cvV>]"
6,São Paulo entre el mar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
7,São Paulo carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,São Paulo menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
9,São Paulo parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,São Paulo parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,São Paulo mundial de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,São Paulo contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
13,São Paulo mayor parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
14,São Paulo marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
15,São Paulo mayor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,São Paulo climático como el cambio,"[<'cam':cVc>, <'bio':cvV>]"
17,São Paulo como el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
18,São Paulo producto en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,São Paulo el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
20,São Paulo marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
21,São Paulo climático en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
22,São Paulo está contra la compromica,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'ca':cV>]"
23,São Paulo marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
24,São Paulo parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
25,São Paulo política en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
26,São Paulo climática y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
27,São Paulo carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
28,São Paulo propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
29,São Paulo contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
30,São Paulo contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,São Paulo el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
32,São Paulo menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
33,São Paulo la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
34,São Paulo marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
35,São Paulo la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,São Paulo por el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
37,São Paulo el contral de la propia contra,"[<'con':cVc>, <'tra':ccV>]"
38,São Paulo en el proceso de la propia,"[<'pro':ccV>, <'pia':cvV>]"
39,São Paulo la contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
40,São Paulo permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
41,São Paulo de la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
42,São Paulo para el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
43,São Paulo contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
44,São Paulo el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
45,São Paulo la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
46,São Paulo permitado de la compra,"[<'com':cVc>, <'pra':ccV>]"
47,São Paulo parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
48,São Paulo emisiones de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
49,São Paulo la propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
50,São Paulo producirá a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,São Paulo el proyecto de la actualidad,"[<'ac':Vc>, <'tua':cvV>, <'li':cv>, <'dad':cVc>]"
52,São Paulo permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
53,São Paulo de la propia contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
54,São Paulo menos de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
55,São Paulo permitado por la propia,"[<'pro':ccV>, <'pia':cvV>]"
56,São Paulo el contrado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
57,São Paulo parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
58,São Paulo en la propia de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
59,São Paulo contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
60,São Paulo contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
61,São Paulo menos precipitaciones,"[<'pre':ccV>, <'ci':cv>, <'pi':cv>, <'ta':cV>, <'cio':cvV>, <'nes':cVs>]"
62,São Paulo permita de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
63,São Paulo la capa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
64,São Paulo de contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
65,São Paulo menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
66,São Paulo por el mar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
67,São Paulo permita en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
68,São Paulo la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
69,São Paulo contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
