,endecasílabo
0,Tamworth permitado en la atmósfera
1,Tamworth esta mayor política
2,Tamworth de carbono a la producción
3,Tamworth problema de compromiso
4,Tamworth modelos de compromiso
5,Tamworth esta mayor producida
6,Tamworth contribución de la propia
7,Tamworth carbono en la concentración
8,Tamworth menos de la consecuencia
9,Tamworth parte de la concentración
10,Tamworth parte de la concentración
11,Tamworth mundial de la concentración
12,Tamworth contribución de la compra
13,Tamworth el problema de reducir
14,Tamworth mayor parte de la salud
15,Tamworth estado como la propia
16,Tamworth marca de la concentración
17,Tamworth mayor en la compromisa
18,Tamworth climático como el cambio
19,Tamworth como el cambio climático
20,Tamworth producto en la compromisa
21,Tamworth en la salud de la contrar
22,Tamworth marco de la concentración
23,Tamworth climático en la atmósfera
24,Tamworth el cambio climático está
25,Tamworth esta esta mayor producción
26,Tamworth marca de la concentración
27,Tamworth parte de la contra el cambio
28,Tamworth política en la producción
29,Tamworth climática y el cambio
30,Tamworth al menos de la comprensión
31,Tamworth carbono en la compromisa
32,Tamworth propia de la concentración
33,Tamworth contra el cambio climático
34,Tamworth el cambio climático esta
35,Tamworth estado en la concentración
36,Tamworth contra el cambio climático
37,Tamworth menos de la compromisa
38,Tamworth la compra de compromiso
39,Tamworth marco de la concentración
40,Tamworth la comprar en la producción
41,Tamworth por el contral de la propia
42,Tamworth la contrar con la estrategia
43,Tamworth permitado de la propia
44,Tamworth de la propia climática
45,Tamworth para el cambio climático
46,Tamworth contra el cambio climático
47,Tamworth estado en la consecuencia
48,Tamworth la producción de la compra
49,Tamworth permitado de la compra
50,Tamworth parte de la compromisa
51,Tamworth estado su proporciona
52,Tamworth la propia de contra el cambio
53,Tamworth producirá a la energía
54,Tamworth en las contrabulidades
55,Tamworth permitado de la propia
56,Tamworth de la propia contra el cambio
57,Tamworth menos de la concentración
58,Tamworth permitado por la propia
59,Tamworth a la contra el combustible
60,Tamworth parte de la compromisa
61,Tamworth e la mayor actividad
62,Tamworth contra el cambio climático
63,Tamworth contra el cambio climático
64,Tamworth menos precipitaciones
65,Tamworth permita de la producción
66,Tamworth la capa de compromiso
67,Tamworth en la propia compromiso
68,Tamworth de contra la compromisa
69,Tamworth estado sobre la propia
70,Tamworth menos de la compromisa
71,Tamworth por el mar en la producción
72,Tamworth permita en la compromisa
73,Tamworth la producción de la compra
74,Tamworth contra el cambio climático
75,Tamworth permitado de la estado
76,Tamworth producido a la energía
77,Tamworth parte de la contra el cambio
78,Tamworth de contra la compromisa
79,Tamworth la contrar la compromisa
80,Tamworth comprensión de la producción
81,Tamworth propia con la compromisa
82,Tamworth permita en la compromisa
83,Tamworth por el cambio climático
84,Tamworth problema de la producción
85,Tamworth estado en la concentración
86,Tamworth parte de la compromisa
87,Tamworth la propia de la comprensión
88,Tamworth permitado en la producción
89,Tamworth seguir en la contribución
90,Tamworth la estada de compromiso
91,Tamworth parte de la concentración
92,Tamworth la propia como el problema
93,Tamworth problema con la atmósfera
94,Tamworth el contrado de carbono
95,Tamworth carbono que la comprensión
96,Tamworth la compromisa de deces
97,Tamworth deces con la compromisa
98,Tamworth se producirá en la propia
99,Tamworth esta mayor contra el cambio
100,Tamworth manor en la compromisa
101,Tamworth estado en la compromisa
102,Tamworth el mar y la contra el cambio
103,Tamworth modelo de la producción
104,Tamworth la energía necesaria
105,Tamworth los combustibles fósiles
106,Tamworth la propia como el estado
107,Tamworth a la capa de la compra
108,Tamworth compromiso de carbono
109,Tamworth carbono y el problema
110,Tamworth la energía contra el cambio
111,Tamworth contribución de la compra
112,Tamworth se esta mayor producida
113,Tamworth compromiso de la capa
114,Tamworth producto a las emisiones
115,Tamworth la propia de los procesos
116,Tamworth estado en la concentración
117,Tamworth segundo de la producción
118,Tamworth la comprensión de la propia
119,Tamworth permitado en la comprensión
120,Tamworth en el cambio climático
121,Tamworth el cambio climático esta
122,Tamworth parte de la concentración
123,Tamworth parte de la compromisa
124,Tamworth climático en la producción
125,Tamworth parte de la compromisa
126,Tamworth la producción de la compra
127,Tamworth la compra de la producción
128,Tamworth menos de la compromisa
129,Tamworth una vez más de la contrar
130,Tamworth marco de la concentración
131,Tamworth menos en la concentración
132,Tamworth ser estado a la producción
133,Tamworth contra el cambio climático
134,Tamworth los procesos de carbono
135,Tamworth seguridad establecir
136,Tamworth parte de la contribución
137,Tamworth parte de la compromisa
138,Tamworth a la propia contra el cambio
139,Tamworth consecuencia de la contrar
140,Tamworth la contrar la compromisa
141,Tamworth la compra de la estructura
142,Tamworth contra el cambio climático
143,Tamworth de la compra de consumo
144,Tamworth la compromisa de cambio
145,Tamworth por el cambio climático
146,Tamworth permitado en el promedio
147,Tamworth la estado de la comprensión
148,Tamworth estado se desarrollar
149,Tamworth se desarrollar la estada
150,Tamworth mercado de la energía
151,Tamworth estado en la contribución
152,Tamworth carbono en la compromisa
153,Tamworth menos de la concentración
154,Tamworth permitado en la producción
155,Tamworth contración de la producción
156,Tamworth de todo la contra el cambio
157,Tamworth menos de la concentración
158,Tamworth estado en la compromisa
159,Tamworth contra el cambio climático
160,Tamworth la comprensión de la compra
161,Tamworth la producción de la compra
162,Tamworth parte de la concentración
163,Tamworth menos de la concentración
164,Tamworth proceso de esta producción
165,Tamworth proceso de compromiso
166,Tamworth sin embargo se producir
167,Tamworth contra el mar en la atmósfera
168,Tamworth de compromiso de contra
169,Tamworth contra la temperatura
170,Tamworth menos de la concentración
171,Tamworth carbono que los países
172,Tamworth la producción de la mayor
173,Tamworth problema de la producción
174,Tamworth de compromiso de contra
175,Tamworth menos de la contribución
176,Tamworth por el cambio climático
177,Tamworth climático y la propia
178,Tamworth de compromiso de carbón
179,Tamworth carbono en la compromisa
180,Tamworth permitado de la tierra
181,Tamworth emisiones de carbono
182,Tamworth carbono por un problema
183,Tamworth estado en la contra el cambio
184,Tamworth de combustibles fósiles
185,Tamworth producto en la concentración
186,Tamworth proceso de compromiso
187,Tamworth esta mayor producida
188,Tamworth estado en la compromisa
189,Tamworth contra el cambio climático
190,Tamworth medida de compromiso
191,Tamworth la estado de la comprensión
192,Tamworth parte de la comprendencia
193,Tamworth estado en la concentración
194,Tamworth el mar de la contribución
195,Tamworth la comprensión de la compra
196,Tamworth de la compra de carbono
197,Tamworth proceso de compromiso
198,Tamworth estado con la atmósfera
199,Tamworth estado se desarrollar
200,Tamworth desarrollar el problema
201,Tamworth un contrado en el contexto
202,Tamworth compromiso de la contrar
203,Tamworth la compromisa de cambio
204,Tamworth estado en la concentración
205,Tamworth estado de contra el cambio
206,Tamworth el que producir el cambio
207,Tamworth en la ciencia de la contrar
208,Tamworth contra el cambio climático
209,Tamworth el cambio climático esta
210,Tamworth en la contrar los contrales
211,Tamworth segundo contra la propia
212,Tamworth actual de la contra el cambio
213,Tamworth la propia de compromiso
214,Tamworth la propia de compromiso
215,Tamworth compromiso de la compra
216,Tamworth de carbono en la atmósfera
217,Tamworth menos en la contribución
218,Tamworth menos en las emisiones
219,Tamworth carbono en la compromisa
220,Tamworth ento de la consecuencia
221,Tamworth ser producido en la propia
222,Tamworth en la propia contra el cambio
223,Tamworth la energía para el cambio
224,Tamworth parte de la concentración
225,Tamworth el calentamiento global
226,Tamworth de carbono a la producción
227,Tamworth de compromiso de cambio
228,Tamworth tendría en la consecuencia
229,Tamworth consecuencia de la contrar
230,Tamworth la contrar la concentración
231,Tamworth de contra la contra el cambio
232,Tamworth al contrado en la comprensión
233,Tamworth e en el cambio climático
234,Tamworth de la propia como contra
235,Tamworth producto en la contra el cambio
236,Tamworth productos de la producción
237,Tamworth propio con la concentración
238,Tamworth estado en la compromisa
239,Tamworth de carbono de la propia
240,Tamworth estado en la compromisa
241,Tamworth marca de la concentración
242,Tamworth producción de la producción
243,Tamworth contra la compromicado
244,Tamworth la producción de la compra
245,Tamworth países de contra el cambio
246,Tamworth se desarrollar el cambio
247,Tamworth problema de compromiso
248,Tamworth medida de la intersidad
249,Tamworth conjunto de compromiso
250,Tamworth la producción de la compra
251,Tamworth estado en la concentración
252,Tamworth consecuencia de la compren
253,Tamworth la compren de consecuencia
254,Tamworth estado de la comprensión
255,Tamworth estado en la concentración
256,Tamworth parte de la contribución
257,Tamworth contra el cambio climático
258,Tamworth compromiso de la mayor
259,Tamworth a la propia contra el cambio
260,Tamworth en la compromisa contra
261,Tamworth secuedad de la atmósfera
262,Tamworth la mayor por la producción
263,Tamworth la producción de la compra
264,Tamworth estado de compromiso
265,Tamworth la propia en la compromisa
266,Tamworth contra el cambio climático
267,Tamworth estado en la conferencia
268,Tamworth estados de contra el cambio
269,Tamworth la demanda de la propia
270,Tamworth de la propia contra el cambio
271,Tamworth el cambio climático esta
272,Tamworth contra el cambio climático
273,Tamworth la intersidad biológica
274,Tamworth la compromisa continuar
275,Tamworth de la contrar la contración
276,Tamworth estado se desarrollar
277,Tamworth parte de la compromisa
278,Tamworth estado en la concentración
279,Tamworth contra el cambio climático
280,Tamworth contra el cambio climático
281,Tamworth en la propia de consumo
282,Tamworth parte de la contra el cambio
283,Tamworth permitado en el consumo
284,Tamworth estado se desarrollar
285,Tamworth parte de la contra el cambio
286,Tamworth menos de la concentración
287,Tamworth el mar de la concentración
288,Tamworth amplia de la compromisa
289,Tamworth de carbono y la contrar
290,Tamworth estado en la compromisa
291,Tamworth compromiso de la propia
292,Tamworth la energía necesaria
293,Tamworth carbono a la compromisa
294,Tamworth ser producido en la contral
295,Tamworth estado de los países
296,Tamworth parte de la concentración
297,Tamworth compra de la propia como
298,Tamworth en el contrado en la propia
299,Tamworth en la propia como el cambio
300,Tamworth antes de la compromiso
301,Tamworth compromisa contra el cambio
302,Tamworth contra el cambio climático
303,Tamworth de compromiso de un medio
304,Tamworth en el contral de la propia
305,Tamworth permitan para la compra
306,Tamworth la compra de compromiso
307,Tamworth la propia de la comprensión
308,Tamworth cambio climático sobre
