,endecasílabo
0,Tauranga del proyecto la actividad
1,Tauranga países de nuestro parte
2,Tauranga los eficientes con partes
3,Tauranga partes de la economía
4,Tauranga de los s en el carbono
5,Tauranga para marcio a la presencia
6,Tauranga a la presencia de la salud
7,Tauranga contonce más el peligro
8,Tauranga las partes de la biosfera
9,Tauranga de la biosfera de precios
10,Tauranga de la alternción de la salud
11,Tauranga sa amplia de la concentración
12,Tauranga es un siglo xx estos partes
13,Tauranga ndia de las concentraciones
14,Tauranga contribución del proceso
15,Tauranga guardo estado a la subida
16,Tauranga la actual de las cubiertales
17,Tauranga aumenta de las emisiones
18,Tauranga en el que se definitica
19,Tauranga diración de los países
20,Tauranga a la intersión del capacidad
21,Tauranga n el que debe el mercado
22,Tauranga me considerable al siglo
23,Tauranga los metos de la ingenida
24,Tauranga se desalian el especie
25,Tauranga correstos de alternaciones
26,Tauranga para la temperatura
27,Tauranga y los países de efectos
28,Tauranga la conferencia se pueden
29,Tauranga de los periodos de calor
30,Tauranga de calor de los países
31,Tauranga la tierra por un consenso
32,Tauranga en el carbón y al contexto
33,Tauranga contribución en la esta alla
34,Tauranga salia del calentamiento
35,Tauranga que los neoliberales
36,Tauranga la aperación de la centra
37,Tauranga pertinente con la reda
38,Tauranga la reda de la cantidad
39,Tauranga de la cantidad de tiempo
40,Tauranga los procesos de la inversión
41,Tauranga energía no en los dectriales
42,Tauranga actividades políticos
43,Tauranga de la oriente climática
44,Tauranga la temperatura medio
45,Tauranga medio albiente con su fecha
46,Tauranga los combustibles fósiles
47,Tauranga por el paso de la guerra
48,Tauranga en la cauta de las segundas
49,Tauranga la forma de casa informe
50,Tauranga r para mayor aumento
51,Tauranga se podría energética
52,Tauranga y las oficinas para
53,Tauranga marcha de la mayoría
54,Tauranga la mayoría del control
55,Tauranga con bien en el correcionar
56,Tauranga los comparaciones de esta
57,Tauranga de las pautas de emisiones
58,Tauranga la pertida de la tierra
59,Tauranga decientes energéticos
60,Tauranga se puede ser concentración
61,Tauranga ser concentración del caso
62,Tauranga de la tierra en contribución
63,Tauranga consumo con el estado
64,Tauranga concentración de los medios
65,Tauranga la manor aliminación
66,Tauranga que se hace la energía
67,Tauranga disponibles contribuyen
68,Tauranga en el carbón en los estrenos
