,endecasílabo
0,Tauranga permitado en la atmósfera
1,Tauranga en el proyecto de la tierra
2,Tauranga de carbono a la producción
3,Tauranga problema de compromiso
4,Tauranga modelos de compromiso
5,Tauranga contribución de la propia
6,Tauranga entre el mar de la concentración
7,Tauranga carbono en la concentración
8,Tauranga menos de la consecuencia
9,Tauranga parte de la concentración
10,Tauranga parte de la concentración
11,Tauranga mundial de la concentración
12,Tauranga contribución de la compra
13,Tauranga mayor parte de la salud
14,Tauranga marca de la concentración
15,Tauranga mayor en la compromisa
16,Tauranga climático como el cambio
17,Tauranga como el cambio climático
18,Tauranga producto en la compromisa
19,Tauranga el petróleo y la propia
20,Tauranga marco de la concentración
21,Tauranga climático en la atmósfera
22,Tauranga está contra la compromica
23,Tauranga marca de la concentración
24,Tauranga parte de la contra el cambio
25,Tauranga política en la producción
26,Tauranga climática y el cambio
27,Tauranga carbono en la compromisa
28,Tauranga propia de la concentración
29,Tauranga contra el cambio climático
30,Tauranga contra el cambio climático
31,Tauranga el cambio climático sobre
32,Tauranga menos de la compromisa
33,Tauranga la compra de compromiso
34,Tauranga marco de la concentración
35,Tauranga la comprar en la producción
36,Tauranga por el contral de la propia
37,Tauranga el contral de la propia contra
38,Tauranga en el proceso de la propia
39,Tauranga la contrar con la estrategia
40,Tauranga permitado de la propia
41,Tauranga de la propia climática
42,Tauranga para el cambio climático
43,Tauranga contra el cambio climático
44,Tauranga el cambio climático sobre
45,Tauranga la producción de la compra
46,Tauranga permitado de la compra
47,Tauranga parte de la compromisa
48,Tauranga emisiones de contra el cambio
49,Tauranga la propia de contra el cambio
50,Tauranga producirá a la energía
51,Tauranga el proyecto de la actualidad
52,Tauranga permitado de la propia
53,Tauranga de la propia contra el cambio
54,Tauranga menos de la concentración
55,Tauranga permitado por la propia
56,Tauranga el contrado en la compromisa
57,Tauranga parte de la compromisa
58,Tauranga en la propia de la comprensión
59,Tauranga contra el cambio climático
60,Tauranga contra el cambio climático
61,Tauranga menos precipitaciones
62,Tauranga permita de la producción
63,Tauranga la capa de compromiso
64,Tauranga de contra la compromisa
65,Tauranga menos de la compromisa
66,Tauranga por el mar en la producción
67,Tauranga permita en la compromisa
68,Tauranga la producción de la compra
69,Tauranga contra el cambio climático
70,Tauranga permitado de la estado
71,Tauranga producido a la energía
72,Tauranga el proceso de compromiso
73,Tauranga parte de la contra el cambio
74,Tauranga de contra la compromisa
75,Tauranga la contrar la compromisa
76,Tauranga comprensión de la producción
77,Tauranga propia con la compromisa
78,Tauranga permita en la compromisa
79,Tauranga por el cambio climático
80,Tauranga problema de la producción
81,Tauranga parte de la compromisa
82,Tauranga la propia de la comprensión
83,Tauranga el mercado de la producción
84,Tauranga permitado en la producción
85,Tauranga seguir en la contribución
86,Tauranga la estada de compromiso
87,Tauranga parte de la concentración
88,Tauranga la propia como el problema
89,Tauranga problema con la atmósfera
90,Tauranga carbono que la comprensión
91,Tauranga la compromisa de deces
92,Tauranga deces con la compromisa
93,Tauranga se producirá en la propia
94,Tauranga en la propia de compromiso
95,Tauranga manor en la compromisa
96,Tauranga modelo de la producción
97,Tauranga el cambio climático sobre
98,Tauranga la energía necesaria
99,Tauranga los combustibles fósiles
100,Tauranga la propia como el estado
101,Tauranga compromiso de carbono
102,Tauranga carbono y el problema
103,Tauranga la energía contra el cambio
104,Tauranga contribución de la compra
105,Tauranga se esta mayor producida
106,Tauranga compromiso de la capa
107,Tauranga el contrado en la compromisa
108,Tauranga producto a las emisiones
109,Tauranga la propia de los procesos
110,Tauranga el contrado en la concentración
111,Tauranga segundo de la producción
112,Tauranga la comprensión de la propia
113,Tauranga a la propia de compromiso
114,Tauranga permitado en la comprensión
115,Tauranga parte de la concentración
116,Tauranga parte de la compromisa
117,Tauranga climático en la producción
118,Tauranga parte de la compromisa
119,Tauranga el proceso de la comprensión
120,Tauranga la producción de la compra
121,Tauranga la compra de la producción
122,Tauranga menos de la compromisa
123,Tauranga marco de la concentración
124,Tauranga menos en la concentración
125,Tauranga ser estado a la producción
126,Tauranga contra el cambio climático
127,Tauranga los procesos de carbono
128,Tauranga seguridad establecir
129,Tauranga parte de la contribución
130,Tauranga parte de la compromisa
131,Tauranga consecuencia de la contrar
132,Tauranga la contrar la compromisa
133,Tauranga en la producción de la capa
134,Tauranga en la cumbre de la actualidad
135,Tauranga la compra de la estructura
136,Tauranga contra el cambio climático
137,Tauranga de la compra de consumo
138,Tauranga la compromisa de cambio
139,Tauranga por el cambio climático
140,Tauranga permitado en el promedio
141,Tauranga la estado de la comprensión
142,Tauranga se desarrollar la estada
143,Tauranga mercado de la energía
144,Tauranga carbono en la compromisa
145,Tauranga menos de la concentración
146,Tauranga permitado en la producción
147,Tauranga contración de la producción
148,Tauranga el contral de la concentración
149,Tauranga de todo la contra el cambio
150,Tauranga menos de la concentración
151,Tauranga contra el cambio climático
152,Tauranga la comprensión de la compra
153,Tauranga la producción de la compra
154,Tauranga parte de la concentración
155,Tauranga menos de la concentración
156,Tauranga proceso de esta producción
157,Tauranga proceso de compromiso
158,Tauranga sin embargo se producir
159,Tauranga contra el mar en la atmósfera
160,Tauranga de compromiso de contra
161,Tauranga contra la temperatura
162,Tauranga menos de la concentración
163,Tauranga carbono que los países
164,Tauranga la producción de la mayor
165,Tauranga problema de la producción
166,Tauranga de compromiso de contra
167,Tauranga menos de la contribución
168,Tauranga por el cambio climático
169,Tauranga climático y la propia
170,Tauranga de compromiso de carbón
171,Tauranga carbono en la compromisa
172,Tauranga permitado de la tierra
173,Tauranga carbono por un problema
174,Tauranga de combustibles fósiles
175,Tauranga producto en la concentración
176,Tauranga proceso de compromiso
177,Tauranga el proyecto en la compromisa
178,Tauranga contra el cambio climático
179,Tauranga medida de compromiso
180,Tauranga la estado de la comprensión
181,Tauranga parte de la comprendencia
182,Tauranga la comprensión de la compra
183,Tauranga de la compra de carbono
184,Tauranga proceso de compromiso
185,Tauranga desarrollar el problema
186,Tauranga compromiso de la contrar
187,Tauranga la compromisa de cambio
188,Tauranga contra el cambio climático
189,Tauranga segundo contra la propia
190,Tauranga la propia de compromiso
191,Tauranga la propia de compromiso
192,Tauranga compromiso de la compra
193,Tauranga de carbono en la atmósfera
194,Tauranga menos en la contribución
195,Tauranga menos en las emisiones
196,Tauranga carbono en la compromisa
197,Tauranga ser producido en la propia
198,Tauranga la energía para el cambio
199,Tauranga a la producción de la propia
200,Tauranga parte de la concentración
201,Tauranga de carbono a la producción
202,Tauranga de compromiso de cambio
203,Tauranga tendría en la consecuencia
204,Tauranga consecuencia de la contrar
205,Tauranga la contrar la concentración
206,Tauranga de contra la contra el cambio
207,Tauranga en la comprensión de la estada
208,Tauranga en el cambio climático esta
209,Tauranga de la propia como contra
210,Tauranga producto en la contra el cambio
211,Tauranga productos de la producción
212,Tauranga propio con la concentración
213,Tauranga de carbono de la propia
214,Tauranga marca de la concentración
215,Tauranga producción de la producción
216,Tauranga contra la compromicado
217,Tauranga la producción de la compra
218,Tauranga países de contra el cambio
219,Tauranga se desarrollar el cambio
220,Tauranga problema de compromiso
221,Tauranga medida de la intersidad
222,Tauranga el proceso de contra el cambio
223,Tauranga conjunto de compromiso
224,Tauranga la producción de la compra
225,Tauranga en la concentración de la actual
226,Tauranga consecuencia de la compren
227,Tauranga la compren de consecuencia
228,Tauranga parte de la contribución
229,Tauranga contra el cambio climático
230,Tauranga compromiso de la mayor
231,Tauranga secuedad de la atmósfera
232,Tauranga la mayor por la producción
233,Tauranga la producción de la compra
234,Tauranga la propia en la compromisa
235,Tauranga contra el cambio climático
236,Tauranga la demanda de la propia
237,Tauranga de la propia contra el cambio
238,Tauranga contra el cambio climático
239,Tauranga la intersidad biológica
240,Tauranga la compromisa continuar
241,Tauranga de la contrar la contración
242,Tauranga el problema de compromiso
243,Tauranga parte de la compromisa
244,Tauranga contra el cambio climático
245,Tauranga contra el cambio climático
246,Tauranga economía necesitad
247,Tauranga parte de la contra el cambio
248,Tauranga permitado en el consumo
249,Tauranga parte de la contra el cambio
250,Tauranga menos de la concentración
251,Tauranga de carbono y la contrar
252,Tauranga compromiso de la propia
253,Tauranga la energía necesaria
254,Tauranga carbono a la compromisa
255,Tauranga en el cambio climático esta
256,Tauranga ser producido en la contral
257,Tauranga parte de la concentración
258,Tauranga compra de la propia como
259,Tauranga el contrado en la propia como
260,Tauranga compromisa contra el cambio
261,Tauranga contra el cambio climático
262,Tauranga el cambio climático sobre
263,Tauranga de compromiso de un medio
264,Tauranga permitan para la compra
265,Tauranga la compra de compromiso
266,Tauranga la propia de la comprensión
267,Tauranga cambio climático sobre
268,Tauranga la propia de compromiso
269,Tauranga marco de la concentración
270,Tauranga la temperatura mundial
271,Tauranga ser producido en la propia
272,Tauranga la propia con la producción
273,Tauranga parte de la concentración
274,Tauranga menos en la compromisa
275,Tauranga en el mar de la contribución
276,Tauranga propuesta en la contrabución
277,Tauranga marco de la concentración
278,Tauranga de carbono y la propia
279,Tauranga el sumento de la demanda
