,endecasílabo
0,Teguise permitado en la atmósfera
1,Teguise en el proyecto de la tierra
2,Teguise de carbono a la producción
3,Teguise problema de compromiso
4,Teguise modelos de compromiso
5,Teguise contribución de la propia
6,Teguise entre el mar de la concentración
7,Teguise carbono en la concentración
8,Teguise menos de la consecuencia
9,Teguise parte de la concentración
10,Teguise parte de la concentración
11,Teguise mundial de la concentración
12,Teguise contribución de la compra
13,Teguise mayor parte de la salud
14,Teguise marca de la concentración
15,Teguise mayor en la compromisa
16,Teguise climático como el cambio
17,Teguise como el cambio climático
18,Teguise producto en la compromisa
19,Teguise el petróleo y la propia
20,Teguise marco de la concentración
21,Teguise climático en la atmósfera
22,Teguise está contra la compromica
23,Teguise marca de la concentración
24,Teguise parte de la contra el cambio
25,Teguise política en la producción
26,Teguise climática y el cambio
27,Teguise carbono en la compromisa
28,Teguise propia de la concentración
29,Teguise contra el cambio climático
30,Teguise contra el cambio climático
31,Teguise el cambio climático sobre
32,Teguise menos de la compromisa
33,Teguise la compra de compromiso
34,Teguise marco de la concentración
35,Teguise la comprar en la producción
36,Teguise por el contral de la propia
37,Teguise el contral de la propia contra
38,Teguise en el proceso de la propia
39,Teguise la contrar con la estrategia
40,Teguise permitado de la propia
41,Teguise de la propia climática
42,Teguise para el cambio climático
43,Teguise contra el cambio climático
44,Teguise el cambio climático sobre
45,Teguise la producción de la compra
46,Teguise permitado de la compra
47,Teguise parte de la compromisa
48,Teguise emisiones de contra el cambio
49,Teguise la propia de contra el cambio
50,Teguise producirá a la energía
51,Teguise el proyecto de la actualidad
52,Teguise permitado de la propia
53,Teguise de la propia contra el cambio
54,Teguise menos de la concentración
55,Teguise permitado por la propia
56,Teguise el contrado en la compromisa
57,Teguise parte de la compromisa
58,Teguise en la propia de la comprensión
59,Teguise contra el cambio climático
60,Teguise contra el cambio climático
61,Teguise menos precipitaciones
62,Teguise permita de la producción
63,Teguise la capa de compromiso
64,Teguise de contra la compromisa
65,Teguise menos de la compromisa
66,Teguise por el mar en la producción
67,Teguise permita en la compromisa
68,Teguise la producción de la compra
69,Teguise contra el cambio climático
70,Teguise permitado de la estado
71,Teguise producido a la energía
72,Teguise el proceso de compromiso
73,Teguise parte de la contra el cambio
74,Teguise de contra la compromisa
75,Teguise la contrar la compromisa
76,Teguise comprensión de la producción
77,Teguise propia con la compromisa
78,Teguise permita en la compromisa
79,Teguise por el cambio climático
80,Teguise problema de la producción
81,Teguise parte de la compromisa
82,Teguise la propia de la comprensión
83,Teguise el mercado de la producción
84,Teguise permitado en la producción
85,Teguise seguir en la contribución
86,Teguise la estada de compromiso
87,Teguise parte de la concentración
88,Teguise la propia como el problema
89,Teguise problema con la atmósfera
