,verse,terminacion
0,Tehran ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Tehran los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Tehran si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Tehran los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Tehran nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Tehran en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Tehran con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Tehran dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Tehran e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Tehran la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Tehran composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Tehran en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Tehran márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Tehran la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Tehran conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Tehran la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Tehran la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Tehran de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Tehran su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Tehran gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Tehran los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Tehran de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Tehran el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Tehran también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Tehran los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Tehran gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Tehran consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Tehran ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Tehran de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Tehran de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Tehran la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Tehran de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Tehran en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Tehran con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Tehran en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Tehran estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Tehran la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Tehran ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Tehran la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Tehran la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Tehran umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Tehran actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,Tehran políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,Tehran con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
44,Tehran la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,Tehran en la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
46,Tehran de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Tehran ente de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
48,Tehran ente a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
49,Tehran de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
50,Tehran la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,Tehran tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
52,Tehran que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
53,Tehran en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
54,Tehran de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
55,Tehran la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
56,Tehran de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
57,Tehran la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
58,Tehran aumento del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Tehran de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
60,Tehran energética en el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
61,Tehran centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
62,Tehran de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
63,Tehran medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,Tehran bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
65,Tehran de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
66,Tehran continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
67,Tehran la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
68,Tehran por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
69,Tehran de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
70,Tehran las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
71,Tehran modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
72,Tehran esta el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
73,Tehran en el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
74,Tehran de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
75,Tehran la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
76,Tehran funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
77,Tehran como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
78,Tehran registrar como consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
79,Tehran como consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
80,Tehran en la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
81,Tehran o que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
82,Tehran contribuyen a los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
83,Tehran primer calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
84,Tehran las inversiones en el caso,"[<'ca':cV>, <'so':sV>]"
85,Tehran de los efectos finalistas,"[<'fi':cv>, <'na':cV>, <'lis':cvs>, <'tas':cVs>]"
86,Tehran contribución sobre el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
87,Tehran sobre el carbono y las partes,"[<'par':cVc>, <'tes':cVs>]"
88,Tehran de la previsión del acesto,"[<'a':V>, <'ces':cVs>, <'to':cV>]"
89,Tehran del acesto de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
90,Tehran el proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
91,Tehran los países de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
92,Tehran de la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
93,Tehran mente de la población están,"[<'es':Vs>, <'tán':cVc>]"
94,Tehran la sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
95,Tehran la población de la información,"[<'in':vc>, <'for':cVc>, <'ma':cV>, <'ción':cvVc>]"
96,Tehran previsión de los medios de este,"[<'es':Vs>, <'te':cV>]"
97,Tehran del gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
98,Tehran por la buena contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
99,Tehran los países de la eficiencia,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'cia':cvV>]"
100,Tehran la combustión de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
101,Tehran puedo estar la salud humana,"[<'hu':cv>, <'ma':cV>, <'na':cV>]"
102,Tehran te parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
103,Tehran de las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
104,Tehran de los efectos para el amor,"[<'a':V>, <'mor':cVc>]"
105,Tehran contente de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
106,Tehran cantidad de mantenida entre,"[<'en':Vc>, <'tre':ccV>]"
107,Tehran mantenida entre la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
108,Tehran con el calentamiento medio,"[<'me':cV>, <'dio':cvV>]"
109,Tehran pueden el mercado que el amor,"[<'a':V>, <'mor':cVc>]"
110,Tehran mercado que el amor de viento,"[<'vien':cvVc>, <'to':cV>]"
111,Tehran de la segunda concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
112,Tehran las países para virturar,"[<'vi':cv>, <'rtu':ccv>, <'rar':cVc>]"
113,Tehran a forma de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
114,Tehran la concentración de la educción,"[<'e':V>, <'duc':cvc>, <'ción':cvVc>]"
115,Tehran la contentación de energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
116,Tehran de energía por el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
117,Tehran a de esta curstión de los años,"[<'a':V>, <'ños':cVs>]"
118,Tehran pueda despertar lo que es una,"[<'u':v>, <'na':cV>]"
119,Tehran de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
120,Tehran fósiles y las inversiones,"[<'in':vc>, <'ver':cVc>, <'sio':svV>, <'nes':cVs>]"
121,Tehran estado de las cancidades,"[<'can':cVc>, <'ci':cv>, <'da':cV>, <'des':cVs>]"
122,Tehran la superficie de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
123,Tehran electricidad y el poner,"[<'po':cV>, <'ner':cVc>]"
124,Tehran el poner en la comparación,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'ción':cvVc>]"
125,Tehran de los medios de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
126,Tehran la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
127,Tehran en los retroposos de capaz,"[<'ca':cV>, <'paz':cVc>]"
128,Tehran de carbono algo internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
129,Tehran la reducida del principal,"[<'prin':ccvc>, <'ci':cv>, <'pal':cVc>]"
130,Tehran principal responsar la salud,"[<'sa':sV>, <'lud':cvc>]"
131,Tehran partir del problema del medio,"[<'me':cV>, <'dio':cvV>]"
132,Tehran del problema del medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
133,Tehran se ha encreto de los distintos,"[<'dis':cvs>, <'tin':cvc>, <'tos':cVs>]"
134,Tehran los de los civilizaciones,"[<'ci':cv>, <'vi':cv>, <'li':cv>, <'za':cV>, <'cio':cvV>, <'nes':cVs>]"
135,Tehran la temperatura del nivel,"[<'ni':cv>, <'vel':cVc>]"
136,Tehran contribución a la precisión,"[<'pre':ccV>, <'ci':cv>, <'sión':svVc>]"
137,Tehran los periodos del pauso medio,"[<'me':cV>, <'dio':cvV>]"
138,Tehran e al medio ambiente en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
139,Tehran medidas por la emisión de este,"[<'es':Vs>, <'te':cV>]"
140,Tehran e en el carbón y consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
141,Tehran a en un modelo en el consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
142,Tehran e al banco de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
143,Tehran de carbono para el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
144,Tehran de eren en las palanidades,"[<'pa':cV>, <'la':cV>, <'ni':cv>, <'da':cV>, <'des':cVs>]"
145,Tehran medio ambiente por la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
146,Tehran de agua tantos de los modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
147,Tehran dicionadas de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
148,Tehran los países temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
149,Tehran contribuir el albedo es la alta,"[<'al':Vc>, <'ta':cV>]"
150,Tehran concentración de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
151,Tehran la contribución del mar soda,"[<'so':sV>, <'da':cV>]"
152,Tehran contribución del mar soda este,"[<'es':Vs>, <'te':cV>]"
153,Tehran en el consumo en la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
154,Tehran ción en la actividad del nivel,"[<'ni':cv>, <'vel':cVc>]"
155,Tehran el medio ambiente con la parte,"[<'par':cVc>, <'te':cV>]"
156,Tehran medio ambiente y un problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
157,Tehran y un problema de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
158,Tehran la contención al energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
159,Tehran con el sector energético,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'co':cV>]"
160,Tehran mundo en el besta del modelo,"[<'mo':cV>, <'de':cV>, <'lo':cV>]"
161,Tehran la internacional del convenio,"[<'con':cVc>, <'ve':cV>, <'nio':cvV>]"
162,Tehran en la fuerte de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
163,Tehran de la cual controlar el amor,"[<'a':V>, <'mor':cVc>]"
164,Tehran de las partes de los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
165,Tehran los contenidos por la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
