,verse,terminacion
0,Telde el proyecto de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
1,Telde permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Telde en el proyecto en la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
3,Telde en el proceso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Telde la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
5,Telde el contrado de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
6,Telde la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
7,Telde las procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
8,Telde de compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
9,Telde los modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
10,Telde la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
11,Telde de la propia de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
12,Telde ha contral de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
13,Telde provocado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
14,Telde el cambio climático en la propia,"[<'pro':ccV>, <'pia':cvV>]"
15,Telde permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
16,Telde en la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
17,Telde la propia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
18,Telde permitado en la compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
19,Telde mayor parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
20,Telde por el mar de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
21,Telde de carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
22,Telde permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
23,Telde la contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
24,Telde a los procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
25,Telde producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
26,Telde medida de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
27,Telde las problemas de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
28,Telde propia como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
29,Telde la concentración de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
30,Telde la capa de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
31,Telde el cambio climático es un cambio,"[<'cam':cVc>, <'bio':cvV>]"
32,Telde la compra de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
33,Telde la contrar con la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
34,Telde permitado en las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
35,Telde permitado en el petróleo,"[<'pe':cV>, <'tró':ccV>, <'le':cV>, <'o':V>]"
36,Telde en el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
37,Telde las emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
38,Telde carbono y la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
39,Telde cambio climático está contra,"[<'con':cVc>, <'tra':ccV>]"
40,Telde producido en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
41,Telde la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
42,Telde la compromisa climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
43,Telde de carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
44,Telde permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Telde la propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
46,Telde producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
47,Telde la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
