,endecasílabo
0,Tokyo el proyecto de la concentración
1,Tokyo permitado en la compromisa
2,Tokyo en el proyecto en la contribución
3,Tokyo en el proceso de compromiso
4,Tokyo la concentración de la compra
5,Tokyo el contrado de la concentración
6,Tokyo la concentración de la propia
7,Tokyo las procesos de compromiso
8,Tokyo de compromiso de carbono
9,Tokyo los modelos de compromiso
10,Tokyo la concentración de la propia
11,Tokyo de la propia de compromiso
12,Tokyo ha contral de la concentración
13,Tokyo provocado en la compromisa
14,Tokyo el cambio climático en la propia
15,Tokyo permitado en la concentración
16,Tokyo en la concentración de la compra
17,Tokyo la propia de la consecuencia
18,Tokyo permitado en la compromitad
19,Tokyo mayor parte de la producción
20,Tokyo por el mar de la consecuencia
21,Tokyo de carbono en la concentración
22,Tokyo permitado en la compromisa
23,Tokyo la contribución de la compra
24,Tokyo a los procesos de compromiso
25,Tokyo producción de la concentración
26,Tokyo medida de la concentración
27,Tokyo las problemas de compromiso
28,Tokyo propia como la contra el cambio
29,Tokyo la concentración de la contrar
30,Tokyo la capa de la contra el cambio
31,Tokyo el cambio climático es un cambio
32,Tokyo la compra de la contra el cambio
33,Tokyo la contrar con la concentración
34,Tokyo permitado en las emisiones
35,Tokyo permitado en el petróleo
36,Tokyo en el petróleo y la propia
37,Tokyo las emisiones de carbono
38,Tokyo carbono y la compromiso
39,Tokyo cambio climático está contra
40,Tokyo producido en la compromisa
41,Tokyo la concentración de la propia
42,Tokyo la compromisa climática
43,Tokyo de carbono en la compromisa
44,Tokyo permitado en la concentración
45,Tokyo la propia de la concentración
46,Tokyo producción de la concentración
47,Tokyo la concentración de la compra
48,Tokyo compromitad de la comprensión
49,Tokyo contra el cambio climático esta
50,Tokyo las emisiones de carbono
51,Tokyo de la compra de compromiso
52,Tokyo permitado en la compromiso
53,Tokyo producido en la compromisa
54,Tokyo de la comprar en la producción
55,Tokyo demanda de la compromisa
56,Tokyo compromisa de compromiso
57,Tokyo compromiso de compromiso
58,Tokyo el promedio de la conferencia
59,Tokyo la conferencia de la estada
60,Tokyo la capacidad de carbono
61,Tokyo procesos de la concentración
62,Tokyo en la propia de la concentración
63,Tokyo el proyecto de la concentración
64,Tokyo la compra de la concentración
65,Tokyo la capa de las emisiones
66,Tokyo el proceso de la concentración
67,Tokyo el tendero de las emisiones
68,Tokyo problema de la concentración
69,Tokyo la concentración de la compra
70,Tokyo se producirá a la energía
71,Tokyo de la contrar la compromisa
72,Tokyo problema de la concentración
73,Tokyo la concentración de la propia
74,Tokyo compromiso de esta población
75,Tokyo el cambio climático es la propia
76,Tokyo la propia de la contribución
77,Tokyo de compromiso de carbono
78,Tokyo la compromisa de carbono
79,Tokyo en el contrado en la compromisa
80,Tokyo producción de la concentración
81,Tokyo cambio climático es proceso
82,Tokyo el cambio climático en la estado
83,Tokyo comprensión de la concentración
84,Tokyo la contra el cambio climático
85,Tokyo la contra el cambio climático
86,Tokyo la propia de la contribución
87,Tokyo de los procesos de carbono
88,Tokyo la propia de la contribución
89,Tokyo en la compromisa de carbono
90,Tokyo permitado en la compromisa
91,Tokyo compra de carbono a la propia
92,Tokyo ser producido a la energía
93,Tokyo a la energía de compromiso
94,Tokyo es un proceso de compromiso
95,Tokyo contra la largo de la propia
96,Tokyo la concentración de la propia
97,Tokyo permitado en la concentración
98,Tokyo la comprensión de la producción
99,Tokyo la propia con la compromisa
100,Tokyo la compromisa de la capa
101,Tokyo de carbono en la contrabución
102,Tokyo el estado de la concentración
103,Tokyo los procesos de contra el cambio
104,Tokyo la producción de la producción
105,Tokyo superficie de la producción
106,Tokyo de la compromisa de cambio
107,Tokyo la compromisa de carbono
108,Tokyo carbono de la compromisa
109,Tokyo permitado en la compromisa
110,Tokyo la contra el cambio climático
111,Tokyo se seguir en la contribución
112,Tokyo de la estada de compromiso
113,Tokyo parte de la temperatura
114,Tokyo producción de la capacidad
115,Tokyo la propia de la consecuencia
116,Tokyo permitado en la compromisa
117,Tokyo la concentración de la compra
118,Tokyo permitado en la compromisa
119,Tokyo de carbono que la comprensión
120,Tokyo de la compromisa de deces
