,verse,terminacion
0,Tsiroanomandidy load model,"[<'mo':cV>, <'del':cVc>]"
1,Tsiroanomandidy ### Predict,"[<'Pre':ccV>, <'di':cv>, <'ct':cc>]"
2,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
3,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
4,Tsiroanomandidy de la compra,"[<'com':cVc>, <'pra':ccV>]"
5,Tsiroanomandidy compra de esta,"[<'es':Vs>, <'ta':cV>]"
6,Tsiroanomandidy el contrado,"[<'con':cVc>, <'tra':ccV>, <'do':cV>]"
7,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
8,Tsiroanomandidy la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
9,Tsiroanomandidy en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
10,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
11,Tsiroanomandidy las procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
12,Tsiroanomandidy de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
13,Tsiroanomandidy los modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
14,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
15,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
16,Tsiroanomandidy permitado,"[<'per':cVc>, <'mi':cv>, <'ta':cV>, <'do':cV>]"
17,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
18,Tsiroanomandidy se ha contral,"[<'con':cVc>, <'tral':ccVc>]"
19,Tsiroanomandidy en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
20,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
21,Tsiroanomandidy contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
22,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
23,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
24,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
25,Tsiroanomandidy mayor parte,"[<'par':cVc>, <'te':cV>]"
26,Tsiroanomandidy compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
27,Tsiroanomandidy los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
28,Tsiroanomandidy compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
29,Tsiroanomandidy la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
30,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
31,Tsiroanomandidy esta parte,"[<'par':cVc>, <'te':cV>]"
32,Tsiroanomandidy contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
33,Tsiroanomandidy de la compra,"[<'com':cVc>, <'pra':ccV>]"
34,Tsiroanomandidy el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
35,Tsiroanomandidy de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
36,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
37,Tsiroanomandidy mayor parte,"[<'par':cVc>, <'te':cV>]"
38,Tsiroanomandidy de la salud,"[<'sa':sV>, <'lud':cvc>]"
39,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
40,Tsiroanomandidy las problemas,"[<'pro':ccV>, <'ble':ccV>, <'mas':cVs>]"
41,Tsiroanomandidy propia como,"[<'co':cV>, <'mo':cV>]"
42,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
43,Tsiroanomandidy propia contra,"[<'con':cVc>, <'tra':ccV>]"
44,Tsiroanomandidy esta marca,"[<'mar':cVc>, <'ca':cV>]"
45,Tsiroanomandidy de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
46,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
47,Tsiroanomandidy como el cambio,"[<'cam':cVc>, <'bio':cvV>]"
48,Tsiroanomandidy de la capa,"[<'ca':cV>, <'pa':cV>]"
49,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
50,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
51,Tsiroanomandidy a la compra,"[<'com':cVc>, <'pra':ccV>]"
52,Tsiroanomandidy de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
53,Tsiroanomandidy en la salud,"[<'sa':sV>, <'lud':cvc>]"
54,Tsiroanomandidy de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
55,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
56,Tsiroanomandidy el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
57,Tsiroanomandidy la contración,"[<'con':cVc>, <'tra':ccV>, <'ción':cvVc>]"
58,Tsiroanomandidy de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
59,Tsiroanomandidy se producir,"[<'pro':ccV>, <'du':cv>, <'cir':cvc>]"
60,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
61,Tsiroanomandidy esta marca,"[<'mar':cVc>, <'ca':cV>]"
62,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
63,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
64,Tsiroanomandidy mayor parte,"[<'par':cVc>, <'te':cV>]"
65,Tsiroanomandidy esta contrar,"[<'con':cVc>, <'trar':ccVc>]"
66,Tsiroanomandidy contra el medio,"[<'me':cV>, <'dio':cvV>]"
67,Tsiroanomandidy y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
68,Tsiroanomandidy concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
69,Tsiroanomandidy su producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
70,Tsiroanomandidy de la compra,"[<'com':cVc>, <'pra':ccV>]"
71,Tsiroanomandidy compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
72,Tsiroanomandidy la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
73,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
74,Tsiroanomandidy mayor parte,"[<'par':cVc>, <'te':cV>]"
75,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
76,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
77,Tsiroanomandidy de la compra,"[<'com':cVc>, <'pra':ccV>]"
78,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
79,Tsiroanomandidy concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
80,Tsiroanomandidy de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
81,Tsiroanomandidy de la compra,"[<'com':cVc>, <'pra':ccV>]"
82,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
83,Tsiroanomandidy mayor parte,"[<'par':cVc>, <'te':cV>]"
84,Tsiroanomandidy de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
85,Tsiroanomandidy por el contral,"[<'con':cVc>, <'tral':ccVc>]"
86,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
87,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
88,Tsiroanomandidy mayor parte,"[<'par':cVc>, <'te':cV>]"
89,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
90,Tsiroanomandidy la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
91,Tsiroanomandidy compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
92,Tsiroanomandidy compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
93,Tsiroanomandidy compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
94,Tsiroanomandidy por el cambio,"[<'cam':cVc>, <'bio':cvV>]"
95,Tsiroanomandidy el promedio,"[<'pro':ccV>, <'me':cV>, <'dio':cvV>]"
96,Tsiroanomandidy de la estada,"[<'es':Vs>, <'ta':cV>, <'da':cV>]"
97,Tsiroanomandidy permitado,"[<'per':cVc>, <'mi':cv>, <'ta':cV>, <'do':cV>]"
98,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
99,Tsiroanomandidy para el cambio,"[<'cam':cVc>, <'bio':cvV>]"
100,Tsiroanomandidy compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
101,Tsiroanomandidy a la propia,"[<'pro':ccV>, <'pia':cvV>]"
102,Tsiroanomandidy en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
103,Tsiroanomandidy concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
104,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
105,Tsiroanomandidy conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
106,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
107,Tsiroanomandidy de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
108,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
109,Tsiroanomandidy de la compra,"[<'com':cVc>, <'pra':ccV>]"
110,Tsiroanomandidy el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
111,Tsiroanomandidy permitado,"[<'per':cVc>, <'mi':cv>, <'ta':cV>, <'do':cV>]"
112,Tsiroanomandidy de la compra,"[<'com':cVc>, <'pra':ccV>]"
113,Tsiroanomandidy la confrarza,"[<'con':cVc>, <'frar':ccVc>, <'za':cV>]"
114,Tsiroanomandidy a la capa,"[<'ca':cV>, <'pa':cV>]"
115,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
116,Tsiroanomandidy el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
117,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
118,Tsiroanomandidy esta mayor,"[<'ma':cV>, <'yor':cVc>]"
119,Tsiroanomandidy mayor parte,"[<'par':cVc>, <'te':cV>]"
120,Tsiroanomandidy el tendero,"[<'ten':cVc>, <'de':cV>, <'ro':cV>]"
121,Tsiroanomandidy su problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
122,Tsiroanomandidy de la compra,"[<'com':cVc>, <'pra':ccV>]"
123,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
124,Tsiroanomandidy de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
125,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
126,Tsiroanomandidy en la propia,"[<'pro':ccV>, <'pia':cvV>]"
127,Tsiroanomandidy el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
128,Tsiroanomandidy la actualidad,"[<'ac':Vc>, <'tua':cvV>, <'li':cv>, <'dad':cVc>]"
129,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
130,Tsiroanomandidy la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
131,Tsiroanomandidy conducida,"[<'con':cVc>, <'du':cv>, <'ci':cv>, <'da':cV>]"
132,Tsiroanomandidy en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
133,Tsiroanomandidy compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
134,Tsiroanomandidy en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
135,Tsiroanomandidy permitado,"[<'per':cVc>, <'mi':cv>, <'ta':cV>, <'do':cV>]"
136,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
137,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
138,Tsiroanomandidy se producir,"[<'pro':ccV>, <'du':cv>, <'cir':cvc>]"
139,Tsiroanomandidy contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
140,Tsiroanomandidy los proyectos,"[<'pro':ccV>, <'yec':cVc>, <'tos':cVs>]"
141,Tsiroanomandidy permitado,"[<'per':cVc>, <'mi':cv>, <'ta':cV>, <'do':cV>]"
142,Tsiroanomandidy por la propia,"[<'pro':ccV>, <'pia':cvV>]"
143,Tsiroanomandidy permitado,"[<'per':cVc>, <'mi':cv>, <'ta':cV>, <'do':cV>]"
144,Tsiroanomandidy de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
145,Tsiroanomandidy de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
146,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
147,Tsiroanomandidy concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
148,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
149,Tsiroanomandidy la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
150,Tsiroanomandidy e la mayor,"[<'ma':cV>, <'yor':cVc>]"
151,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
152,Tsiroanomandidy conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
153,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
154,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
155,Tsiroanomandidy esta parte,"[<'par':cVc>, <'te':cV>]"
156,Tsiroanomandidy los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
157,Tsiroanomandidy de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
158,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
159,Tsiroanomandidy en la propia,"[<'pro':ccV>, <'pia':cvV>]"
160,Tsiroanomandidy desarrollo,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'llo':ccV>]"
161,Tsiroanomandidy la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
162,Tsiroanomandidy de la compra,"[<'com':cVc>, <'pra':ccV>]"
163,Tsiroanomandidy contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
164,Tsiroanomandidy permitado,"[<'per':cVc>, <'mi':cv>, <'ta':cV>, <'do':cV>]"
165,Tsiroanomandidy de la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
166,Tsiroanomandidy el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
167,Tsiroanomandidy por el cambio,"[<'cam':cVc>, <'bio':cvV>]"
168,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
169,Tsiroanomandidy de la propia,"[<'pro':ccV>, <'pia':cvV>]"
