,verse,terminacion
0,Turin ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Turin los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Turin si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Turin los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Turin nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Turin en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Turin con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Turin dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Turin e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Turin la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Turin composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Turin en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Turin márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Turin la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Turin conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Turin la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Turin la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Turin de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Turin su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Turin gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Turin los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Turin de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Turin el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Turin también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Turin los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Turin gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Turin consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Turin ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Turin de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Turin de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Turin la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Turin de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Turin en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Turin con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Turin en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Turin estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Turin la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Turin ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Turin la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Turin la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Turin umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Turin actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
