,verse,terminacion
0,Tías ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Tías los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Tías si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Tías los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Tías nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Tías en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Tías con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Tías dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Tías e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Tías la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Tías composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Tías en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Tías márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Tías la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Tías conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Tías la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Tías la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Tías de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Tías su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Tías gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Tías los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Tías de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Tías el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Tías también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Tías los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Tías gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Tías consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Tías ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Tías de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Tías de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Tías la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Tías de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Tías en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Tías con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Tías en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Tías estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Tías la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Tías ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Tías la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Tías la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Tías umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Tías actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,Tías políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,Tías con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
