,verse,terminacion
0,Vavatenina ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Vavatenina la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Vavatenina de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
3,Vavatenina de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
4,Vavatenina entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
5,Vavatenina países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
6,Vavatenina contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
7,Vavatenina eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
8,Vavatenina de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
9,Vavatenina marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
10,Vavatenina los composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
11,Vavatenina de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
12,Vavatenina de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Vavatenina es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
14,Vavatenina la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Vavatenina s de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
16,Vavatenina de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
17,Vavatenina la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
18,Vavatenina nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
19,Vavatenina estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
20,Vavatenina de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,Vavatenina para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
