,verse,terminacion
0,Vienna en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Vienna los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Vienna si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Vienna estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
4,Vienna los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
5,Vienna nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
6,Vienna con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Vienna dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Vienna la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
9,Vienna composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
10,Vienna márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
11,Vienna la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
12,Vienna conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
13,Vienna un carbono de su política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
14,Vienna el escenario de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Vienna la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Vienna la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Vienna de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Vienna su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Vienna en el pertido de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
20,Vienna atmósfera de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
21,Vienna gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
22,Vienna los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
23,Vienna al siglo xx los estados desde,"[<'des':cVs>, <'de':cV>]"
24,Vienna de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
25,Vienna estado de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
26,Vienna también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
27,Vienna los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
28,Vienna gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
29,Vienna consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Vienna es un convenio sobre el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
31,Vienna ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
32,Vienna de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
33,Vienna de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
34,Vienna la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
35,Vienna a la sociedad de la sonientia,"[<'so':sV>, <'nien':cvVc>, <'tia':cvV>]"
36,Vienna de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
37,Vienna con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
38,Vienna la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
39,Vienna la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
40,Vienna la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
41,Vienna políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
42,Vienna con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
43,Vienna la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
44,Vienna de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
45,Vienna de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
46,Vienna la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
47,Vienna tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
48,Vienna en la caleración del carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
49,Vienna que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
50,Vienna de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
51,Vienna el sistema de la organización,"[<'or':Vc>, <'ga':cV>, <'ni':cv>, <'za':cV>, <'ción':cvVc>]"
52,Vienna la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
53,Vienna de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
54,Vienna emisiones de gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
55,Vienna la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
56,Vienna de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
57,Vienna centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
58,Vienna de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
59,Vienna medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
60,Vienna bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
61,Vienna en el correcionar nuestra parte,"[<'par':cVc>, <'te':cV>]"
62,Vienna de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
63,Vienna continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
64,Vienna la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
65,Vienna por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
66,Vienna estados para las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
67,Vienna electricidad en las medidas,"[<'me':cV>, <'di':cv>, <'das':cVs>]"
68,Vienna de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
69,Vienna las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
70,Vienna modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
71,Vienna de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
72,Vienna la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
73,Vienna funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
74,Vienna como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
75,Vienna registrar como consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
76,Vienna como consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
77,Vienna contribuyen a los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
78,Vienna primer calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
79,Vienna las inversiones en el caso,"[<'ca':cV>, <'so':sV>]"
80,Vienna de los efectos finalistas,"[<'fi':cv>, <'na':cV>, <'lis':cvs>, <'tas':cVs>]"
