,verse,terminacion
0,Volgograd del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Volgograd aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Volgograd países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Volgograd los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Volgograd partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Volgograd de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Volgograd para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Volgograd contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Volgograd las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Volgograd de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Volgograd de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Volgograd sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Volgograd a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Volgograd un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Volgograd ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Volgograd el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Volgograd el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Volgograd contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Volgograd guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Volgograd a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Volgograd a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Volgograd la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Volgograd es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Volgograd el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Volgograd diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Volgograd n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Volgograd me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
27,Volgograd al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
