,verse,terminacion
0,Waipahu permitado en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
1,Waipahu en el proyecto de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
2,Waipahu de carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Waipahu problema de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Waipahu modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
5,Waipahu contribución de la propia,"[<'pro':ccV>, <'pia':cvV>]"
6,Waipahu entre el mar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
7,Waipahu carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Waipahu menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
9,Waipahu parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,Waipahu parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,Waipahu mundial de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Waipahu contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
13,Waipahu mayor parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
14,Waipahu marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
15,Waipahu mayor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Waipahu climático como el cambio,"[<'cam':cVc>, <'bio':cvV>]"
17,Waipahu como el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
18,Waipahu producto en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,Waipahu el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
20,Waipahu marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
21,Waipahu climático en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
22,Waipahu está contra la compromica,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'ca':cV>]"
23,Waipahu marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
24,Waipahu parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
25,Waipahu política en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
26,Waipahu climática y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
27,Waipahu carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
28,Waipahu propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
29,Waipahu contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
30,Waipahu contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Waipahu el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
32,Waipahu menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
33,Waipahu la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
34,Waipahu marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
35,Waipahu la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,Waipahu por el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
37,Waipahu el contral de la propia contra,"[<'con':cVc>, <'tra':ccV>]"
38,Waipahu en el proceso de la propia,"[<'pro':ccV>, <'pia':cvV>]"
39,Waipahu la contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
40,Waipahu permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
41,Waipahu de la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
42,Waipahu para el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
43,Waipahu contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
44,Waipahu el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
45,Waipahu la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
46,Waipahu permitado de la compra,"[<'com':cVc>, <'pra':ccV>]"
