,verse,terminacion
0,Whangarei del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Whangarei países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Whangarei los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Whangarei partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Whangarei de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Whangarei para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Whangarei a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Whangarei contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Whangarei las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Whangarei de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Whangarei de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Whangarei sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Whangarei es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Whangarei ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Whangarei contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Whangarei guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Whangarei la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Whangarei aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Whangarei en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Whangarei diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Whangarei a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Whangarei n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Whangarei me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Whangarei los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Whangarei se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Whangarei correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Whangarei para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Whangarei y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Whangarei la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Whangarei de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
30,Whangarei de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
31,Whangarei la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
32,Whangarei en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
33,Whangarei contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
34,Whangarei salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
35,Whangarei que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
36,Whangarei la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
