,verse,terminacion
0,Wuxi en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Wuxi los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Wuxi si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Wuxi estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
4,Wuxi los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
5,Wuxi nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
6,Wuxi con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Wuxi dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Wuxi la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
9,Wuxi composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
10,Wuxi márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
11,Wuxi la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
12,Wuxi conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
13,Wuxi un carbono de su política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
14,Wuxi el escenario de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Wuxi la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Wuxi la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Wuxi de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Wuxi su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Wuxi en el pertido de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
20,Wuxi atmósfera de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
21,Wuxi gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
22,Wuxi los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
23,Wuxi al siglo xx los estados desde,"[<'des':cVs>, <'de':cV>]"
24,Wuxi de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
25,Wuxi estado de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
26,Wuxi también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
27,Wuxi los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
28,Wuxi gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
29,Wuxi consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Wuxi es un convenio sobre el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
31,Wuxi ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
32,Wuxi de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
33,Wuxi de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
34,Wuxi la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
35,Wuxi a la sociedad de la sonientia,"[<'so':sV>, <'nien':cvVc>, <'tia':cvV>]"
36,Wuxi de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
37,Wuxi con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
38,Wuxi la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
39,Wuxi la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
40,Wuxi la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
41,Wuxi políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
42,Wuxi con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
43,Wuxi la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
44,Wuxi de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
