,endecasílabo
0,Wuxi el proyecto de la concentración
1,Wuxi permitado en la compromisa
2,Wuxi en el proyecto en la contribución
3,Wuxi en el proceso de compromiso
4,Wuxi la concentración de la compra
5,Wuxi el contrado de la concentración
6,Wuxi la concentración de la propia
7,Wuxi las procesos de compromiso
8,Wuxi de compromiso de carbono
9,Wuxi los modelos de compromiso
10,Wuxi la concentración de la propia
11,Wuxi de la propia de compromiso
12,Wuxi ha contral de la concentración
13,Wuxi provocado en la compromisa
14,Wuxi el cambio climático en la propia
15,Wuxi permitado en la concentración
16,Wuxi en la concentración de la compra
17,Wuxi la propia de la consecuencia
18,Wuxi permitado en la compromitad
19,Wuxi mayor parte de la producción
20,Wuxi por el mar de la consecuencia
21,Wuxi de carbono en la concentración
22,Wuxi permitado en la compromisa
23,Wuxi la contribución de la compra
24,Wuxi a los procesos de compromiso
25,Wuxi producción de la concentración
26,Wuxi medida de la concentración
27,Wuxi las problemas de compromiso
28,Wuxi propia como la contra el cambio
29,Wuxi la concentración de la contrar
30,Wuxi la capa de la contra el cambio
31,Wuxi el cambio climático es un cambio
32,Wuxi la compra de la contra el cambio
33,Wuxi la contrar con la concentración
34,Wuxi permitado en las emisiones
35,Wuxi permitado en el petróleo
36,Wuxi en el petróleo y la propia
37,Wuxi las emisiones de carbono
38,Wuxi carbono y la compromiso
39,Wuxi cambio climático está contra
40,Wuxi producido en la compromisa
41,Wuxi la concentración de la propia
42,Wuxi la compromisa climática
43,Wuxi de carbono en la compromisa
44,Wuxi permitado en la concentración
45,Wuxi la propia de la concentración
46,Wuxi producción de la concentración
47,Wuxi la concentración de la compra
48,Wuxi compromitad de la comprensión
49,Wuxi contra el cambio climático esta
50,Wuxi las emisiones de carbono
51,Wuxi de la compra de compromiso
52,Wuxi permitado en la compromiso
53,Wuxi producido en la compromisa
54,Wuxi de la comprar en la producción
55,Wuxi demanda de la compromisa
56,Wuxi compromisa de compromiso
57,Wuxi compromiso de compromiso
58,Wuxi el promedio de la conferencia
59,Wuxi la conferencia de la estada
60,Wuxi la capacidad de carbono
61,Wuxi procesos de la concentración
62,Wuxi en la propia de la concentración
63,Wuxi el proyecto de la concentración
64,Wuxi la compra de la concentración
65,Wuxi la capa de las emisiones
66,Wuxi el proceso de la concentración
67,Wuxi el tendero de las emisiones
68,Wuxi problema de la concentración
69,Wuxi la concentración de la compra
70,Wuxi se producirá a la energía
71,Wuxi de la contrar la compromisa
72,Wuxi problema de la concentración
73,Wuxi la concentración de la propia
74,Wuxi compromiso de esta población
75,Wuxi el cambio climático es la propia
76,Wuxi la propia de la contribución
77,Wuxi de compromiso de carbono
78,Wuxi la compromisa de carbono
79,Wuxi en el contrado en la compromisa
80,Wuxi producción de la concentración
81,Wuxi cambio climático es proceso
82,Wuxi el cambio climático en la estado
83,Wuxi comprensión de la concentración
84,Wuxi la contra el cambio climático
85,Wuxi la contra el cambio climático
86,Wuxi la propia de la contribución
87,Wuxi de los procesos de carbono
88,Wuxi la propia de la contribución
89,Wuxi en la compromisa de carbono
90,Wuxi permitado en la compromisa
91,Wuxi compra de carbono a la propia
92,Wuxi ser producido a la energía
93,Wuxi a la energía de compromiso
94,Wuxi es un proceso de compromiso
95,Wuxi contra la largo de la propia
96,Wuxi la concentración de la propia
97,Wuxi permitado en la concentración
98,Wuxi la comprensión de la producción
99,Wuxi la propia con la compromisa
100,Wuxi la compromisa de la capa
101,Wuxi de carbono en la contrabución
102,Wuxi el estado de la concentración
103,Wuxi los procesos de contra el cambio
104,Wuxi la producción de la producción
105,Wuxi superficie de la producción
106,Wuxi de la compromisa de cambio
107,Wuxi la compromisa de carbono
108,Wuxi carbono de la compromisa
109,Wuxi permitado en la compromisa
110,Wuxi la contra el cambio climático
111,Wuxi se seguir en la contribución
112,Wuxi de la estada de compromiso
113,Wuxi parte de la temperatura
114,Wuxi producción de la capacidad
115,Wuxi la propia de la consecuencia
116,Wuxi permitado en la compromisa
117,Wuxi la concentración de la compra
118,Wuxi permitado en la compromisa
119,Wuxi de carbono que la comprensión
120,Wuxi de la compromisa de deces
121,Wuxi de deces con la compromisa
122,Wuxi energía en la propia continuar
123,Wuxi concentración de la producción
124,Wuxi la concentración de la contral
125,Wuxi reducción de la consecuencia
126,Wuxi contra el mar y la contra el cambio
127,Wuxi la propia de la concentración
128,Wuxi compromisa como el proceso
129,Wuxi el proceso de la compromisa
130,Wuxi el proceso de la concentración
131,Wuxi fósiles de la contribución
132,Wuxi el cambio climático es un combio
133,Wuxi permitado en la compromisa
134,Wuxi problema de la concentración
135,Wuxi contra la cual es el sistema
136,Wuxi la producción de la comprensión
137,Wuxi permitado en la compromitad
138,Wuxi de carbono y el problema
139,Wuxi el terreno de la compromisa
140,Wuxi de la compromisa de cambio
141,Wuxi promedio de la capacidad
142,Wuxi la contribución de la compra
143,Wuxi la compra de la consecuencia
144,Wuxi en la compromisa de carbono
145,Wuxi de compromiso de la capa
146,Wuxi problema de la concentración
147,Wuxi la compromisa de carbono
148,Wuxi en la compromisa de carbono
149,Wuxi la salud de la concentración
150,Wuxi producción de la compromisa
151,Wuxi comprensión de las emisiones
152,Wuxi la producción de la comprensión
153,Wuxi de la comprensión de la propia
154,Wuxi esta parte de la compromisa
155,Wuxi producción de la consecuencia
156,Wuxi la consecuencia de la compra
157,Wuxi permitado en la compromisa
158,Wuxi la concentración de la compra
159,Wuxi producción de la contribución
160,Wuxi permitado en la concentración
161,Wuxi producción de la contribución
162,Wuxi la compromisa de carbono
163,Wuxi concentración de la comprensión
164,Wuxi en el proceso de la comprensión
165,Wuxi en la propia de la concentración
166,Wuxi de la compra de la producción
167,Wuxi secuedad de la concentración
168,Wuxi por una vez más de la contrar
169,Wuxi de compromiso de carbono
170,Wuxi proceso de la concentración
171,Wuxi la concentración de la compra
172,Wuxi compromisa de complejidad
173,Wuxi complejidad de la estrategia
174,Wuxi permitado en la compromisa
175,Wuxi la contra el cambio climático
176,Wuxi producto de la concentración
177,Wuxi producción de la compromisa
178,Wuxi la consecuencia de la contrar
179,Wuxi de la contrar la compromisa
180,Wuxi se desarrollar el proceso
181,Wuxi proceso de las emisiones
182,Wuxi particilar la contra el cambio
183,Wuxi la contra el cambio climático
184,Wuxi de cambio climático sobre
185,Wuxi el cambio climático establecir
186,Wuxi la compromisa de carbono
187,Wuxi el promedio de la concentración
188,Wuxi compromiso de compromiso
189,Wuxi compromisa de contra el cambio
190,Wuxi compromiso de compromiso
191,Wuxi promedio de la contra el cambio
192,Wuxi de carbono en la compromisa
193,Wuxi climática en las emisiones
194,Wuxi la contración de la producción
195,Wuxi compromiso de compromiso
196,Wuxi compromiso de compromiso
197,Wuxi a la propia de la concentración
198,Wuxi la concentración de la capa
199,Wuxi promedio de las emisiones
200,Wuxi las emisiones de carbono
201,Wuxi climática en la capacidad
202,Wuxi contexto de la contribución
203,Wuxi la compromiso de la compra
204,Wuxi el proceso de la contribución
205,Wuxi de la compromisa de contrar
206,Wuxi compromisa de compromiso
207,Wuxi producción de la concentración
208,Wuxi compromiso en la concentración
209,Wuxi las emisiones de carbono
210,Wuxi de carbono que los países
211,Wuxi producción de la compromisa
212,Wuxi mantitud de la concentración
213,Wuxi cambio climático establecir
214,Wuxi establecir en la concentración
215,Wuxi el aumento de las emisiones
216,Wuxi de las emisiones de cambio
217,Wuxi la consumo de la producción
218,Wuxi los procesos de compromiso
219,Wuxi producción de las emisiones
220,Wuxi el proyecto de la compromisa
221,Wuxi por el mar de la contribución
222,Wuxi la propia de las emisiones
223,Wuxi de carbono en la compromisa
224,Wuxi la tierra de la compromisa
225,Wuxi el periodo de la concentración
226,Wuxi las emisiones de carbono
227,Wuxi de carbono por un problema
228,Wuxi compromisa de compromiso
229,Wuxi compromiso de contra el cambio
230,Wuxi compromisa de combustibles
231,Wuxi compromiso de compromiso
232,Wuxi problema de la compromisa
233,Wuxi producción de la compromisa
234,Wuxi el problema de la concentración
235,Wuxi las emisiones de carbono
236,Wuxi medida de la contra el cambio
237,Wuxi en la propia de la compromisa
238,Wuxi la contra el cambio climático
239,Wuxi contexto de la concentración
240,Wuxi para el mar de la compromisa
241,Wuxi los cambios en la compromisa
242,Wuxi en la compromisa de carbono
243,Wuxi en la propia de la concentración
244,Wuxi compromiso de complejidad
245,Wuxi se desarrollar el problema
246,Wuxi contribución de los procesos
247,Wuxi los procesos de compromiso
248,Wuxi producto de la concentración
249,Wuxi permitado en la concentración
250,Wuxi consecuencia de compromiso
251,Wuxi de compromiso de la contrar
252,Wuxi problema de la compromisa
253,Wuxi de la compromisa de cambio
254,Wuxi permita de la concentración
255,Wuxi la concentración de carbono
256,Wuxi de carbono de compromiso
257,Wuxi la producción de los países
258,Wuxi contra el cambio climático esta
259,Wuxi compromiso en la compromisa
260,Wuxi permitado en la concentración
261,Wuxi de compromiso de la compra
262,Wuxi las emisiones de carbono
263,Wuxi las emisiones de consumo
264,Wuxi permitado en la propia como
265,Wuxi concentración de la producción
