,verse,terminacion
0,Xi’an ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Xi’an los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Xi’an si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Xi’an los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Xi’an nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Xi’an en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Xi’an con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Xi’an dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Xi’an e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Xi’an la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Xi’an composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Xi’an en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Xi’an márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Xi’an la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Xi’an conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Xi’an la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Xi’an la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Xi’an de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Xi’an su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Xi’an gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Xi’an los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Xi’an de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Xi’an el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Xi’an también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Xi’an los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
