,endecasílabo
0,Yangon permitado en la compromisa
1,Yangon la concentración de la compra
2,Yangon la concentración de la propia
3,Yangon las procesos de compromiso
4,Yangon de compromiso de carbono
5,Yangon los modelos de compromiso
6,Yangon la concentración de la propia
7,Yangon de la propia de compromiso
8,Yangon ha contral de la concentración
9,Yangon provocado en la compromisa
10,Yangon permitado en la concentración
11,Yangon la propia de la consecuencia
12,Yangon permitado en la compromitad
13,Yangon entre el mar de la concentración
14,Yangon mayor parte de la producción
15,Yangon por el mar de la consecuencia
16,Yangon de carbono en la concentración
17,Yangon a menos de la consecuencia
18,Yangon permitado en la compromisa
19,Yangon la contribución de la compra
20,Yangon producción de la concentración
21,Yangon medida de la concentración
22,Yangon las problemas de compromiso
23,Yangon propia como la contra el cambio
24,Yangon la concentración de la contrar
25,Yangon la capa de la contra el cambio
26,Yangon la compra de la contra el cambio
27,Yangon la contrar con la concentración
28,Yangon permitado en las emisiones
29,Yangon permitado en el petróleo
30,Yangon las emisiones de carbono
31,Yangon carbono y la compromiso
32,Yangon cambio climático está contra
33,Yangon producido en la compromisa
34,Yangon la concentración de la propia
35,Yangon esta contrar la concentración
36,Yangon la compromisa climática
37,Yangon de carbono en la compromisa
38,Yangon permitado en la concentración
39,Yangon la propia de la concentración
40,Yangon producción de la concentración
41,Yangon la concentración de la compra
42,Yangon compromitad de la comprensión
43,Yangon contra el cambio climático esta
44,Yangon las emisiones de carbono
45,Yangon de la compra de compromiso
46,Yangon permitado en la compromiso
47,Yangon producido en la compromisa
48,Yangon de la comprar en la producción
49,Yangon el contral de la propia contra
50,Yangon demanda de la compromisa
51,Yangon compromisa de compromiso
52,Yangon compromiso de compromiso
53,Yangon la conferencia de la estada
54,Yangon estado de la consecuencia
55,Yangon estamos en la concentración
56,Yangon la capacidad de carbono
57,Yangon procesos de la concentración
58,Yangon la compra de la concentración
59,Yangon la capa de las emisiones
60,Yangon estado con la compromisa
61,Yangon problema de la concentración
62,Yangon la concentración de la compra
63,Yangon se producirá a la energía
64,Yangon de la contrar la compromisa
65,Yangon problema de la concentración
66,Yangon la concentración de la propia
67,Yangon el proyecto de la actualidad
68,Yangon compromiso de esta población
69,Yangon la propia de la contribución
70,Yangon de compromiso de carbono
71,Yangon estado con la compromisa
72,Yangon la compromisa de carbono
73,Yangon producción de la concentración
74,Yangon cambio climático es proceso
75,Yangon comprensión de la concentración
76,Yangon la contra el cambio climático
77,Yangon la contra el cambio climático
78,Yangon la propia de la contribución
79,Yangon esta parte de la producción
80,Yangon de los procesos de carbono
81,Yangon la propia de la contribución
82,Yangon permitado en la compromisa
83,Yangon compra de carbono a la propia
84,Yangon ser producido a la energía
85,Yangon el proceso de compromiso
86,Yangon contra la largo de la propia
87,Yangon la concentración de la propia
88,Yangon esta mayor posibilidad
89,Yangon permitado en la concentración
90,Yangon la comprensión de la producción
91,Yangon la propia con la compromisa
92,Yangon la compromisa de la capa
93,Yangon de carbono en la contrabución
94,Yangon los procesos de contra el cambio
95,Yangon la producción de la producción
96,Yangon superficie de la producción
97,Yangon el mercado de la producción
98,Yangon de la compromisa de cambio
99,Yangon la compromisa de carbono
100,Yangon carbono de la compromisa
101,Yangon permitado en la compromisa
102,Yangon la contra el cambio climático
103,Yangon se seguir en la contribución
104,Yangon de la estada de compromiso
105,Yangon parte de la temperatura
106,Yangon producción de la capacidad
107,Yangon estado de la concentración
108,Yangon la propia de la consecuencia
109,Yangon permitado en la compromisa
110,Yangon la concentración de la compra
111,Yangon permitado en la compromisa
112,Yangon de carbono que la comprensión
113,Yangon de la compromisa de deces
114,Yangon de deces con la compromisa
115,Yangon concentración de la producción
