,endecasílabo
0,Yaoundé permitado en la atmósfera
1,Yaoundé en el proyecto de la tierra
2,Yaoundé de carbono a la producción
3,Yaoundé problema de compromiso
4,Yaoundé modelos de compromiso
5,Yaoundé contribución de la propia
6,Yaoundé entre el mar de la concentración
7,Yaoundé carbono en la concentración
8,Yaoundé menos de la consecuencia
9,Yaoundé parte de la concentración
10,Yaoundé parte de la concentración
11,Yaoundé mundial de la concentración
12,Yaoundé contribución de la compra
13,Yaoundé mayor parte de la salud
14,Yaoundé marca de la concentración
15,Yaoundé mayor en la compromisa
16,Yaoundé climático como el cambio
17,Yaoundé como el cambio climático
18,Yaoundé producto en la compromisa
19,Yaoundé el petróleo y la propia
20,Yaoundé marco de la concentración
21,Yaoundé climático en la atmósfera
22,Yaoundé está contra la compromica
23,Yaoundé marca de la concentración
24,Yaoundé parte de la contra el cambio
25,Yaoundé política en la producción
26,Yaoundé climática y el cambio
27,Yaoundé carbono en la compromisa
28,Yaoundé propia de la concentración
29,Yaoundé contra el cambio climático
30,Yaoundé contra el cambio climático
31,Yaoundé el cambio climático sobre
32,Yaoundé menos de la compromisa
33,Yaoundé la compra de compromiso
34,Yaoundé marco de la concentración
35,Yaoundé la comprar en la producción
36,Yaoundé por el contral de la propia
37,Yaoundé el contral de la propia contra
38,Yaoundé en el proceso de la propia
39,Yaoundé la contrar con la estrategia
40,Yaoundé permitado de la propia
41,Yaoundé de la propia climática
42,Yaoundé para el cambio climático
43,Yaoundé contra el cambio climático
44,Yaoundé el cambio climático sobre
45,Yaoundé la producción de la compra
46,Yaoundé permitado de la compra
47,Yaoundé parte de la compromisa
48,Yaoundé emisiones de contra el cambio
49,Yaoundé la propia de contra el cambio
50,Yaoundé producirá a la energía
51,Yaoundé el proyecto de la actualidad
52,Yaoundé permitado de la propia
53,Yaoundé de la propia contra el cambio
54,Yaoundé menos de la concentración
55,Yaoundé permitado por la propia
56,Yaoundé el contrado en la compromisa
57,Yaoundé parte de la compromisa
58,Yaoundé en la propia de la comprensión
59,Yaoundé contra el cambio climático
60,Yaoundé contra el cambio climático
61,Yaoundé menos precipitaciones
62,Yaoundé permita de la producción
63,Yaoundé la capa de compromiso
64,Yaoundé de contra la compromisa
65,Yaoundé menos de la compromisa
66,Yaoundé por el mar en la producción
67,Yaoundé permita en la compromisa
68,Yaoundé la producción de la compra
69,Yaoundé contra el cambio climático
70,Yaoundé permitado de la estado
71,Yaoundé producido a la energía
72,Yaoundé el proceso de compromiso
73,Yaoundé parte de la contra el cambio
74,Yaoundé de contra la compromisa
75,Yaoundé la contrar la compromisa
76,Yaoundé comprensión de la producción
77,Yaoundé propia con la compromisa
78,Yaoundé permita en la compromisa
79,Yaoundé por el cambio climático
80,Yaoundé problema de la producción
81,Yaoundé parte de la compromisa
82,Yaoundé la propia de la comprensión
83,Yaoundé el mercado de la producción
84,Yaoundé permitado en la producción
85,Yaoundé seguir en la contribución
86,Yaoundé la estada de compromiso
87,Yaoundé parte de la concentración
88,Yaoundé la propia como el problema
89,Yaoundé problema con la atmósfera
90,Yaoundé carbono que la comprensión
91,Yaoundé la compromisa de deces
92,Yaoundé deces con la compromisa
93,Yaoundé se producirá en la propia
94,Yaoundé en la propia de compromiso
95,Yaoundé manor en la compromisa
96,Yaoundé modelo de la producción
97,Yaoundé el cambio climático sobre
98,Yaoundé la energía necesaria
99,Yaoundé los combustibles fósiles
100,Yaoundé la propia como el estado
101,Yaoundé compromiso de carbono
102,Yaoundé carbono y el problema
103,Yaoundé la energía contra el cambio
104,Yaoundé contribución de la compra
105,Yaoundé se esta mayor producida
106,Yaoundé compromiso de la capa
107,Yaoundé el contrado en la compromisa
108,Yaoundé producto a las emisiones
109,Yaoundé la propia de los procesos
110,Yaoundé el contrado en la concentración
111,Yaoundé segundo de la producción
112,Yaoundé la comprensión de la propia
113,Yaoundé a la propia de compromiso
114,Yaoundé permitado en la comprensión
115,Yaoundé parte de la concentración
116,Yaoundé parte de la compromisa
117,Yaoundé climático en la producción
118,Yaoundé parte de la compromisa
119,Yaoundé el proceso de la comprensión
120,Yaoundé la producción de la compra
121,Yaoundé la compra de la producción
122,Yaoundé menos de la compromisa
123,Yaoundé marco de la concentración
124,Yaoundé menos en la concentración
125,Yaoundé ser estado a la producción
126,Yaoundé contra el cambio climático
127,Yaoundé los procesos de carbono
128,Yaoundé seguridad establecir
129,Yaoundé parte de la contribución
130,Yaoundé parte de la compromisa
131,Yaoundé consecuencia de la contrar
132,Yaoundé la contrar la compromisa
133,Yaoundé en la producción de la capa
134,Yaoundé en la cumbre de la actualidad
135,Yaoundé la compra de la estructura
136,Yaoundé contra el cambio climático
137,Yaoundé de la compra de consumo
138,Yaoundé la compromisa de cambio
139,Yaoundé por el cambio climático
140,Yaoundé permitado en el promedio
141,Yaoundé la estado de la comprensión
142,Yaoundé se desarrollar la estada
143,Yaoundé mercado de la energía
144,Yaoundé carbono en la compromisa
145,Yaoundé menos de la concentración
146,Yaoundé permitado en la producción
147,Yaoundé contración de la producción
148,Yaoundé el contral de la concentración
149,Yaoundé de todo la contra el cambio
150,Yaoundé menos de la concentración
151,Yaoundé contra el cambio climático
152,Yaoundé la comprensión de la compra
153,Yaoundé la producción de la compra
154,Yaoundé parte de la concentración
155,Yaoundé menos de la concentración
156,Yaoundé proceso de esta producción
157,Yaoundé proceso de compromiso
158,Yaoundé sin embargo se producir
159,Yaoundé contra el mar en la atmósfera
160,Yaoundé de compromiso de contra
161,Yaoundé contra la temperatura
162,Yaoundé menos de la concentración
163,Yaoundé carbono que los países
164,Yaoundé la producción de la mayor
165,Yaoundé problema de la producción
166,Yaoundé de compromiso de contra
167,Yaoundé menos de la contribución
168,Yaoundé por el cambio climático
169,Yaoundé climático y la propia
170,Yaoundé de compromiso de carbón
171,Yaoundé carbono en la compromisa
172,Yaoundé permitado de la tierra
173,Yaoundé carbono por un problema
174,Yaoundé de combustibles fósiles
175,Yaoundé producto en la concentración
176,Yaoundé proceso de compromiso
177,Yaoundé el proyecto en la compromisa
178,Yaoundé contra el cambio climático
179,Yaoundé medida de compromiso
180,Yaoundé la estado de la comprensión
181,Yaoundé parte de la comprendencia
182,Yaoundé la comprensión de la compra
183,Yaoundé de la compra de carbono
184,Yaoundé proceso de compromiso
185,Yaoundé desarrollar el problema
186,Yaoundé compromiso de la contrar
187,Yaoundé la compromisa de cambio
188,Yaoundé contra el cambio climático
189,Yaoundé segundo contra la propia
190,Yaoundé la propia de compromiso
191,Yaoundé la propia de compromiso
192,Yaoundé compromiso de la compra
193,Yaoundé de carbono en la atmósfera
194,Yaoundé menos en la contribución
195,Yaoundé menos en las emisiones
196,Yaoundé carbono en la compromisa
197,Yaoundé ser producido en la propia
198,Yaoundé la energía para el cambio
199,Yaoundé a la producción de la propia
200,Yaoundé parte de la concentración
201,Yaoundé de carbono a la producción
202,Yaoundé de compromiso de cambio
203,Yaoundé tendría en la consecuencia
204,Yaoundé consecuencia de la contrar
205,Yaoundé la contrar la concentración
206,Yaoundé de contra la contra el cambio
207,Yaoundé en la comprensión de la estada
208,Yaoundé en el cambio climático esta
209,Yaoundé de la propia como contra
210,Yaoundé producto en la contra el cambio
211,Yaoundé productos de la producción
212,Yaoundé propio con la concentración
213,Yaoundé de carbono de la propia
214,Yaoundé marca de la concentración
215,Yaoundé producción de la producción
216,Yaoundé contra la compromicado
217,Yaoundé la producción de la compra
218,Yaoundé países de contra el cambio
219,Yaoundé se desarrollar el cambio
220,Yaoundé problema de compromiso
221,Yaoundé medida de la intersidad
222,Yaoundé el proceso de contra el cambio
223,Yaoundé conjunto de compromiso
224,Yaoundé la producción de la compra
225,Yaoundé en la concentración de la actual
226,Yaoundé consecuencia de la compren
227,Yaoundé la compren de consecuencia
228,Yaoundé parte de la contribución
229,Yaoundé contra el cambio climático
230,Yaoundé compromiso de la mayor
231,Yaoundé secuedad de la atmósfera
232,Yaoundé la mayor por la producción
233,Yaoundé la producción de la compra
234,Yaoundé la propia en la compromisa
235,Yaoundé contra el cambio climático
236,Yaoundé la demanda de la propia
237,Yaoundé de la propia contra el cambio
238,Yaoundé contra el cambio climático
239,Yaoundé la intersidad biológica
240,Yaoundé la compromisa continuar
241,Yaoundé de la contrar la contración
242,Yaoundé el problema de compromiso
243,Yaoundé parte de la compromisa
244,Yaoundé contra el cambio climático
245,Yaoundé contra el cambio climático
246,Yaoundé economía necesitad
247,Yaoundé parte de la contra el cambio
248,Yaoundé permitado en el consumo
249,Yaoundé parte de la contra el cambio
250,Yaoundé menos de la concentración
251,Yaoundé de carbono y la contrar
252,Yaoundé compromiso de la propia
253,Yaoundé la energía necesaria
254,Yaoundé carbono a la compromisa
255,Yaoundé en el cambio climático esta
256,Yaoundé ser producido en la contral
257,Yaoundé parte de la concentración
258,Yaoundé compra de la propia como
259,Yaoundé el contrado en la propia como
260,Yaoundé compromisa contra el cambio
261,Yaoundé contra el cambio climático
262,Yaoundé el cambio climático sobre
263,Yaoundé de compromiso de un medio
264,Yaoundé permitan para la compra
265,Yaoundé la compra de compromiso
266,Yaoundé la propia de la comprensión
267,Yaoundé cambio climático sobre
268,Yaoundé la propia de compromiso
269,Yaoundé marco de la concentración
270,Yaoundé la temperatura mundial
