,endecasílabo
0,Zhengzhou permitado en la atmósfera
1,Zhengzhou en el proyecto de la tierra
2,Zhengzhou de carbono a la producción
3,Zhengzhou problema de compromiso
4,Zhengzhou modelos de compromiso
5,Zhengzhou contribución de la propia
6,Zhengzhou entre el mar de la concentración
7,Zhengzhou carbono en la concentración
8,Zhengzhou menos de la consecuencia
9,Zhengzhou parte de la concentración
10,Zhengzhou parte de la concentración
11,Zhengzhou mundial de la concentración
12,Zhengzhou contribución de la compra
13,Zhengzhou mayor parte de la salud
14,Zhengzhou marca de la concentración
15,Zhengzhou mayor en la compromisa
16,Zhengzhou climático como el cambio
17,Zhengzhou como el cambio climático
18,Zhengzhou producto en la compromisa
19,Zhengzhou el petróleo y la propia
20,Zhengzhou marco de la concentración
21,Zhengzhou climático en la atmósfera
22,Zhengzhou está contra la compromica
23,Zhengzhou marca de la concentración
24,Zhengzhou parte de la contra el cambio
25,Zhengzhou política en la producción
26,Zhengzhou climática y el cambio
27,Zhengzhou carbono en la compromisa
28,Zhengzhou propia de la concentración
29,Zhengzhou contra el cambio climático
30,Zhengzhou contra el cambio climático
31,Zhengzhou el cambio climático sobre
32,Zhengzhou menos de la compromisa
33,Zhengzhou la compra de compromiso
34,Zhengzhou marco de la concentración
35,Zhengzhou la comprar en la producción
36,Zhengzhou por el contral de la propia
37,Zhengzhou el contral de la propia contra
38,Zhengzhou en el proceso de la propia
39,Zhengzhou la contrar con la estrategia
40,Zhengzhou permitado de la propia
41,Zhengzhou de la propia climática
42,Zhengzhou para el cambio climático
43,Zhengzhou contra el cambio climático
44,Zhengzhou el cambio climático sobre
45,Zhengzhou la producción de la compra
46,Zhengzhou permitado de la compra
47,Zhengzhou parte de la compromisa
48,Zhengzhou emisiones de contra el cambio
49,Zhengzhou la propia de contra el cambio
50,Zhengzhou producirá a la energía
51,Zhengzhou el proyecto de la actualidad
52,Zhengzhou permitado de la propia
53,Zhengzhou de la propia contra el cambio
54,Zhengzhou menos de la concentración
55,Zhengzhou permitado por la propia
56,Zhengzhou el contrado en la compromisa
57,Zhengzhou parte de la compromisa
58,Zhengzhou en la propia de la comprensión
59,Zhengzhou contra el cambio climático
60,Zhengzhou contra el cambio climático
61,Zhengzhou menos precipitaciones
62,Zhengzhou permita de la producción
63,Zhengzhou la capa de compromiso
64,Zhengzhou de contra la compromisa
65,Zhengzhou menos de la compromisa
66,Zhengzhou por el mar en la producción
67,Zhengzhou permita en la compromisa
68,Zhengzhou la producción de la compra
69,Zhengzhou contra el cambio climático
70,Zhengzhou permitado de la estado
71,Zhengzhou producido a la energía
72,Zhengzhou el proceso de compromiso
73,Zhengzhou parte de la contra el cambio
74,Zhengzhou de contra la compromisa
75,Zhengzhou la contrar la compromisa
76,Zhengzhou comprensión de la producción
77,Zhengzhou propia con la compromisa
78,Zhengzhou permita en la compromisa
79,Zhengzhou por el cambio climático
80,Zhengzhou problema de la producción
81,Zhengzhou parte de la compromisa
82,Zhengzhou la propia de la comprensión
83,Zhengzhou el mercado de la producción
84,Zhengzhou permitado en la producción
85,Zhengzhou seguir en la contribución
86,Zhengzhou la estada de compromiso
87,Zhengzhou parte de la concentración
88,Zhengzhou la propia como el problema
89,Zhengzhou problema con la atmósfera
90,Zhengzhou carbono que la comprensión
91,Zhengzhou la compromisa de deces
92,Zhengzhou deces con la compromisa
93,Zhengzhou se producirá en la propia
94,Zhengzhou en la propia de compromiso
95,Zhengzhou manor en la compromisa
96,Zhengzhou modelo de la producción
97,Zhengzhou el cambio climático sobre
98,Zhengzhou la energía necesaria
99,Zhengzhou los combustibles fósiles
100,Zhengzhou la propia como el estado
101,Zhengzhou compromiso de carbono
102,Zhengzhou carbono y el problema
103,Zhengzhou la energía contra el cambio
104,Zhengzhou contribución de la compra
105,Zhengzhou se esta mayor producida
106,Zhengzhou compromiso de la capa
107,Zhengzhou el contrado en la compromisa
108,Zhengzhou producto a las emisiones
109,Zhengzhou la propia de los procesos
110,Zhengzhou el contrado en la concentración
111,Zhengzhou segundo de la producción
112,Zhengzhou la comprensión de la propia
113,Zhengzhou a la propia de compromiso
114,Zhengzhou permitado en la comprensión
115,Zhengzhou parte de la concentración
116,Zhengzhou parte de la compromisa
117,Zhengzhou climático en la producción
118,Zhengzhou parte de la compromisa
119,Zhengzhou el proceso de la comprensión
120,Zhengzhou la producción de la compra
121,Zhengzhou la compra de la producción
122,Zhengzhou menos de la compromisa
123,Zhengzhou marco de la concentración
124,Zhengzhou menos en la concentración
125,Zhengzhou ser estado a la producción
126,Zhengzhou contra el cambio climático
127,Zhengzhou los procesos de carbono
128,Zhengzhou seguridad establecir
129,Zhengzhou parte de la contribución
130,Zhengzhou parte de la compromisa
131,Zhengzhou consecuencia de la contrar
132,Zhengzhou la contrar la compromisa
133,Zhengzhou en la producción de la capa
134,Zhengzhou en la cumbre de la actualidad
135,Zhengzhou la compra de la estructura
136,Zhengzhou contra el cambio climático
137,Zhengzhou de la compra de consumo
138,Zhengzhou la compromisa de cambio
139,Zhengzhou por el cambio climático
140,Zhengzhou permitado en el promedio
141,Zhengzhou la estado de la comprensión
142,Zhengzhou se desarrollar la estada
143,Zhengzhou mercado de la energía
144,Zhengzhou carbono en la compromisa
