,endecasílabo
0, la conferencia de la contribución
1, de compromiso de la compromiso
2, la compromisa de la conferencia
3, la concentración de la compromisa
4, la concentración de la compromisa
5, el cambio climático en el proyecto
6, la compromisa de la compromisa
7, la concentración de la estrategía
8, cambio climático en la concentración
9, cambio climático en la compromiso
10, en el cambio climático en la propia
11, la concentración de la compromisa
12, la compromitad de la compromitad
13, de la comprensión de la concentración
14, la demanda de la temperatura
15, de la concentración de compromiso
16, de la concentración de la producción
17, la concentración de la compromisa
18, contra el cambio climático es un cambio
19, el cambio climático en la compromisa
20, el sistema climático en la atmósfera
21, contra un proyecto de la contribución
22, la concentración de la concentración
23, mayor parte de la temperatura
24, en la concentración de la concentración
25, la concentración de la compromisa
26, de la compromisa de compromiso
27, la concentración de la compromisa
28, la compromiso de las emisiones
29, de la compromisa de compromiso
30, contra el cambio climático en la contra
31, de la compromisa de compromiso
32, la capacidad de la contra el cambio
33, el cambio climático en la concentración
34, cambio climático en la concentración
35, la consecuencia de las emisiones
36, el cambio climático en la compromisa
37, cambio climático en la compromisa
38, la concentración de las emisiones
39, la concentración de la contribución
40, la concentración de la concentración
41, la concentración de las emisiones
42, en la consecuencia de la compromisa
43, de la compra de cambio climático
44, de la compromisa de compromiso
45, de la compromisa de compromiso
46, capa de las emisiones de contra
47, con la compromisa de compromiso
48, mayor permitado en la concentración
49, de las emisiones de complaciones
50, su proporciona de la compromisa
51, propia de contra el cambio climático
52, las contrabulidades en la propia
53, de la producción de la compromisa
54, la concentración de la compromisa
55, el cambio climático en la compromisa
56, el temperatura de la concentración
57, la concentración de la concentración
58, de la producción de la contribución
59, de la producción de la compromisa
60, sobre la propia de la contribución
61, contra el problema de la concentración
62, el mar en la producción de la producción
63, la compromisa de la concentración
64, de carbono a la propia de carbono
65, cambio climático en la concentración
66, contra la compromisa de carbono
67, el cambio climático es un proceso
68, la concentración de la concentración
69, contrar la compromisa de carbono
70, largo de la propia de la producción
71, cambio climático en la concentración
72, el cambio climático es los procesos
73, posibilidad de las emisiones
74, la concentración de las emisiones
75, la compromisa de la concentración
76, el cambio climático en la compromisa
77, se ha describido en la consecuencia
78, de la compromisa de compromiso
79, de la compromisa de compromiso
80, la contra el cambio climático estaba
81, la seguridad en la concentración
82, cambio climático en la compromisa
83, la superficie de la contribución
84, en la contribución de la compromisa
85, la temperatura de los procesos
86, de la capacidad de compromiso
87, de la concentración de la producción
88, la concentración de la compromisa
89, la compromisa de la contribución
90, la compromisa de la concentración
91, el sistema climático es un cambio
92, cambio climático en la concentración
93, con la atmósfera de la compromisa
94, mayor producción de la compromisa
95, la concentración de la compromisa
96, cambio climático en la compromisa
97, el mar y la contra el cambio climático
98, de la producción de la compromisa
99, la cual es el sistema climático
100, cual es el sistema climático está
101, la compromitad de la compromisa
102, energía contra el cambio climático
103, cambio climático en la compromisa
104, la concentración de la compromisa
105, contra la compromisa de carbono
106, de la compromisa de compromiso
107, propia de los procesos de carbono
108, de los procesos de carbono sobre
109, mayor producción de la concentración
110, contra el contexto de las emisiones
111, en la concentración de la compromiso
112, de la compromisa de compromiso
113, la concentración de la contribución
